Date,return_jorge
1998-02-27,-0.0007033841600397606
1998-03-31,0.028280191704937844
1998-04-30,0.029512561474920533
1998-05-29,0.03286948917863324
1998-06-30,0.06162075252648279
1998-07-31,0.03173827342519636
1998-08-31,0.0
1998-09-30,0.0
1998-10-30,-0.02035869943673784
1998-11-30,0.01515517771918954
1998-12-31,0.03476737673010335
1999-01-29,0.029519190570915507
1999-02-26,0.020220901431100644
1999-03-31,-0.02232281963569685
1999-04-30,0.015780668313888316
1999-05-28,-0.005441983487492394
1999-06-30,0.015469579888302571
1999-07-30,0.04938124036586288
1999-08-31,0.03142692292442263
1999-09-30,0.011360213964989355
1999-10-29,0.019473866879672445
1999-11-30,0.009586456290920059
1999-12-31,0.015584188667044245
2000-01-31,0.0034544950595611825
2000-02-29,0.08166819000191557
2000-03-31,-0.013904531350553091
2000-04-28,0.020961707023859136
2000-05-31,-0.007705012378933699
2000-06-30,0.010489141023841905
2000-07-31,-0.017919201223602774
2000-08-31,0.02715041927575073
2000-09-29,0.007813534000644249
2000-10-31,0.005084709227643886
2000-11-30,0.02806257432228047
2000-12-29,0.029811223689134615
2001-01-31,-0.05779113542398791
2001-02-28,0.02170427165007717
2001-03-30,0.04228181800541922
2001-04-30,0.031110193421182077
2001-05-31,0.005841664045657793
2001-06-29,0.02022780759345235
2001-07-31,0.05378058757043152
2001-08-31,0.018578030212690885
2001-09-28,0.0
2001-10-31,0.0
2001-11-30,-0.012100576298024373
2001-12-31,0.00038432746009732163
2002-01-31,0.010321953535499081
2002-02-28,0.035329605388420116
2002-03-28,0.00574202075879263
2002-04-30,0.019967655868978956
2002-05-31,0.05653020002677159
2002-06-28,0.02609383334316346
2002-07-31,0.0
2002-08-30,0.0
2002-09-30,0.0
2002-10-31,0.0
2002-11-29,-0.04601536706951355
2002-12-31,0.026903155763114996
2003-01-31,0.0
2003-02-28,0.00976782799060147
2003-03-31,0.0006086545495335494
2003-04-30,0.020789623068153226
2003-05-30,-0.018603488481631417
2003-06-30,0.006833249994187659
2003-07-31,-0.0018778340770836954
2003-08-29,0.0037551404013393963
2003-09-30,0.005259397411020919
2003-10-31,0.014082143764580092
2003-11-28,0.0034208350322841308
2003-12-31,-0.0010878824628153122
2004-01-30,0.017756989561093887
2004-02-27,-0.017077952614005267
2004-03-31,0.022951573695074806
2004-04-30,0.015401541225380122
2004-05-28,-0.002648058598173418
2004-06-30,0.012288656362022046
2004-07-30,0.023456218932585912
2004-08-31,-0.03028984991748199
2004-09-30,0.04162812711020407
2004-10-29,0.016964900617677785
2004-11-30,-0.016815207009012956
2004-12-31,0.018758052684218852
2005-01-31,0.012969512855648034
2005-02-28,0.06065817449974834
2005-03-31,0.006383063415727343
2005-04-29,0.014239037816181445
2005-05-31,0.003993800539545924
2005-06-30,0.028496534603387982
2005-07-29,0.027250030484464654
2005-08-31,0.05791108194429594
2005-09-30,0.014966688375440698
2005-10-31,0.016268184475263216
2005-11-30,0.01898061301450039
2005-12-30,0.01179728122353385
2006-01-31,0.003591691490185761
2006-02-28,0.04007085725209957
2006-03-31,0.005467173490820518
2006-04-28,-0.010444556719559173
2006-05-31,-0.0019373996915592329
2006-06-30,0.023132041657276677
2006-07-31,0.01628255999487601
2006-08-31,0.021927418146965177
2006-09-29,-0.0002686747629682167
2006-10-31,-0.004853989933003334
2006-11-30,0.001418482858740966
2006-12-29,0.0017264709592519252
2007-01-31,0.024274099615248755
2007-02-28,0.0006189984198402259
2007-03-30,0.02235747119336485
2007-04-30,0.002257758152946857
2007-05-31,-0.004455049430546497
2007-06-29,0.013350637131179479
2007-07-31,0.020694190602450736
2007-08-31,0.03720472358532548
2007-09-28,0.0061691885963388385
2007-10-31,0.02786286788491265
2007-11-30,0.020564252728831812
2007-12-31,-0.016946463378832585
2008-01-31,0.0020784524826844113
2008-02-29,-0.016552049584704177
2008-03-31,0.014373676904320135
2008-04-30,-0.007019832511726837
2008-05-30,0.026756923130728947
2008-06-30,0.009952198457903641
2008-07-31,-0.003024835471563102
2008-08-29,-0.007407236049688687
2008-09-30,0.0
2008-10-31,0.0
2008-11-28,0.0
2008-12-31,0.0
2009-01-30,0.0
2009-02-27,0.0
2009-03-31,0.0
2009-04-30,0.0
2009-05-29,0.0033781716621530053
2009-06-30,0.005319496665805772
2009-07-31,-0.0013317426407871702
2009-08-31,0.008077153307197299
2009-09-30,-0.01091337226882795
2009-10-30,0.0
2009-11-30,0.011647479364237472
2009-12-31,-0.005229449468371734
2010-01-29,-0.016121687433727334
2010-02-26,0.038569642255344795
2010-03-31,0.01798456320841723
2010-04-30,0.002314494673233365
2010-05-28,0.0
2010-06-30,0.0
2010-07-30,-0.012245362065652413
2010-08-31,0.01396105321405144
2010-09-30,-0.008533118449024976
2010-10-29,-0.004809122813760398
2010-11-30,0.010622189773604115
2010-12-31,-0.0201955952429241
2011-01-31,0.005713172366099906
2011-02-28,0.0076708705591000854
2011-03-31,-0.012260145334261579
2011-04-29,-0.009877060620045982
2011-05-31,0.011437356933089435
2011-06-30,0.0371812338207821
2011-07-29,0.006000423020879244
2011-08-31,0.0
2011-09-30,0.0
2011-10-31,0.004053050458792812
2011-11-30,0.0040243885881870315
2011-12-30,-0.024712449353652466
2012-01-31,-0.013724156208273317
2012-02-29,0.020099938904454925
2012-03-30,-0.0088326103522567
2012-04-30,-0.001912420165656209
2012-05-31,0.021272840525078076
2012-06-29,0.013005535197125773
2012-07-31,0.0011404477008956065
2012-08-31,-0.005254499270230773
2012-09-28,-0.007077811760121299
2012-10-31,0.003188624975159533
