Date,Symbol,Price
02.01.08,V2TX,20.7962
03.01.08,V2TX,20.4077
04.01.08,V2TX,21.8046
07.01.08,V2TX,22.3151
08.01.08,V2TX,21.3083
09.01.08,V2TX,22.2657
10.01.08,V2TX,22.1956
11.01.08,V2TX,21.6025
14.01.08,V2TX,21.8863
15.01.08,V2TX,23.6132
16.01.08,V2TX,24.3042
17.01.08,V2TX,24.2938
18.01.08,V2TX,25.4405
21.01.08,V2TX,34.96
22.01.08,V2TX,33.7934
23.01.08,V2TX,40.2484
24.01.08,V2TX,34.8708
25.01.08,V2TX,33.6983
28.01.08,V2TX,33.4194
29.01.08,V2TX,31.8875
30.01.08,V2TX,32.2981
31.01.08,V2TX,30.0471
01.02.08,V2TX,27.4687
04.02.08,V2TX,27.218
05.02.08,V2TX,31.9584
06.02.08,V2TX,30.5677
07.02.08,V2TX,31.8031
08.02.08,V2TX,31.692
11.02.08,V2TX,31.9443
12.02.08,V2TX,28.6393
13.02.08,V2TX,27.9293
14.02.08,V2TX,28.0832
15.02.08,V2TX,29.3659
18.02.08,V2TX,28.0062
19.02.08,V2TX,27.8149
20.02.08,V2TX,29.0684
21.02.08,V2TX,28.3885
22.02.08,V2TX,28.7621
25.02.08,V2TX,27.8544
26.02.08,V2TX,25.8832
27.02.08,V2TX,25.249
28.02.08,V2TX,26.0736
29.02.08,V2TX,28.6914
03.03.08,V2TX,30.8962
04.03.08,V2TX,31.4554
05.03.08,V2TX,29.753
06.03.08,V2TX,30.6213
07.03.08,V2TX,31.556
10.03.08,V2TX,32.0537
11.03.08,V2TX,29.7674
12.03.08,V2TX,28.7552
13.03.08,V2TX,29.6542
14.03.08,V2TX,31.5852
17.03.08,V2TX,37.0497
18.03.08,V2TX,33.1468
19.03.08,V2TX,31.3786
20.03.08,V2TX,30.3668
25.03.08,V2TX,28.7098
26.03.08,V2TX,28.655
27.03.08,V2TX,27.129
28.03.08,V2TX,26.2793
31.03.08,V2TX,27.3083
01.04.08,V2TX,24.6244
02.04.08,V2TX,24.5911
03.04.08,V2TX,25.1853
04.04.08,V2TX,23.8251
07.04.08,V2TX,23.3615
08.04.08,V2TX,24.0381
09.04.08,V2TX,24.136
10.04.08,V2TX,23.7622
11.04.08,V2TX,24.7553
14.04.08,V2TX,25.933
15.04.08,V2TX,25.0443
16.04.08,V2TX,22.9991
17.04.08,V2TX,23.3232
18.04.08,V2TX,21.6331
21.04.08,V2TX,22.3629
22.04.08,V2TX,22.9447
23.04.08,V2TX,22.2164
24.04.08,V2TX,21.3973
25.04.08,V2TX,20.9661
28.04.08,V2TX,21.0962
29.04.08,V2TX,21.5211
30.04.08,V2TX,20.8781
02.05.08,V2TX,19.7693
05.05.08,V2TX,19.9163
06.05.08,V2TX,20.0878
07.05.08,V2TX,19.5765
08.05.08,V2TX,19.947
09.05.08,V2TX,20.6725
12.05.08,V2TX,21.1972
13.05.08,V2TX,21.8017
14.05.08,V2TX,19.6439
15.05.08,V2TX,18.8714
16.05.08,V2TX,18.5667
19.05.08,V2TX,18.245
20.05.08,V2TX,20.0612
21.05.08,V2TX,19.9703
22.05.08,V2TX,19.5563
23.05.08,V2TX,21.4552
26.05.08,V2TX,21.807
