XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Turnover Report: March 2010,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Replication,"Income 
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,03/2010,02/2010,Change (%),Market Share,in MEUR,100.000€
Amundi ETF Dow Jones EURO STOXX 50,FR0010654913,Swap-based,Capitalizing,1.85723196,0.11189651,15.597764845391513,0.00015929370424333785,555.77,10.9832608695652
Amundi ETF EONIA,FR0010718841,Swap-based,Capitalizing,0.1941268,0.0970564,1.000144246026022,1.665014264825897e-05,335.62,0.299
Amundi ETF EURO CORPORATES,FR0010754119,Swap-based,Capitalizing,0,,,0,107.93,42.4155
Amundi ETF EURO INFLATION ,FR0010754127,Swap-based,Capitalizing,0,,,0,25.52,40.8811666666667
Amundi ETF EUROMTS CASH 3 MONTHS,FR0010754200,Swap-based,Capitalizing,0,,,0,5.91,4.3115
Amundi ETF GOVT BOND EUROMTS BROAD,FR0010754192,Swap-based,Capitalizing,0,,,0,42.27,15.314
Amundi ETF GOVT BOND EUROMTS BROAD 10-15,FR0010754143,Swap-based,Capitalizing,0,,,0,26.62,17.3325
Amundi ETF GOVT BOND EUROMTS BROAD 1-3,FR0010754135,Swap-based,Capitalizing,0,,,0,206.16,9.0575
Amundi ETF GOVT BOND EUROMTS BROAD 3-5,FR0010754168,Swap-based,Capitalizing,0,,,0,158.32,11.7665833333333
Amundi ETF GOVT BOND EUROMTS BROAD 5-7,FR0010754176,Swap-based,Capitalizing,0,,,0,25.93,13.2075
Amundi ETF GOVT BOND EUROMTS BROAD 7-10,FR0010754184,Swap-based,Capitalizing,0,,,0,26.3,13.8443333333333
Amundi ETF Leveraged Dow Jones EURO STOXX 50,FR0010756072,Swap-based,Capitalizing,0.32398920000000003,0.0001542,2100.0972762645915,2.7788365112366277e-05,10.53,28.270347826087
Amundi ETF Leveraged MSCI Europe Daily,FR0010756080,Swap-based,Capitalizing,1.13136,0,,9.703608871384203e-05,30.76,16.3236956521739
Amundi ETF Leveraged MSCI USA Daily,FR0010755611,Swap-based,Capitalizing,2.45362056,1.596147,0.5372146550411712,0.0002104456073489135,13.78,14.437652173913
Amundi ETF MSCI China,FR0010713784,Swap-based,Capitalizing,1.1652582,0.78296,0.488272964136099,9.99435175980518e-05,50.53,62.2811739130435
Amundi ETF MSCI EMU,FR0010655688,Swap-based,Capitalizing,0.393995,0,,3.379272183284736e-05,148.33,18.5367391304348
Amundi ETF MSCI EMU HIGH DIVIDEND,FR0010717090,Swap-based,Capitalizing,0.001237,,,1.0609677002812774e-07,6.91,11.5314166666667
Amundi ETF MSCI Europe,FR0010655696,Swap-based,Capitalizing,0.821625,0,,7.047029803909496e-05,230.08,9.83713043478261
Amundi ETF MSCI EUROPE BANKS,FR0010688176,Swap-based,Capitalizing,0,,,0,7.19,18.7623333333333
Amundi ETF MSCI EUROPE CONSUMER DISCRETIONARY,FR0010688184,Swap-based,Capitalizing,0.41591320000000004,,,3.567263308978391e-05,7.07,20.9666666666667
Amundi ETF MSCI EUROPE CONSUMER STAPLES,FR0010688168,Swap-based,Capitalizing,0.0020853,,,1.78854967291556e-07,30.37,17.0194166666667
Amundi ETF MSCI EUROPE HEALTHCARE,FR0010688192,Swap-based,Capitalizing,0,,,0,18.61,17.80925
Amundi ETF MSCI EUROPE HIGH DIVIDEND,FR0010718874,Swap-based,Capitalizing,0,,,0,10.56,11.1683333333333
Amundi ETF MSCI EUROPE INDUSTRIALS,FR0010688218,Swap-based,Capitalizing,0,,,0,8.09,16.571
Amundi ETF MSCI EUROPE INSURANCE,FR0010688226,Swap-based,Capitalizing,0,,,0,6.64,17.6544166666667
Amundi ETF MSCI EUROPE IT,FR0010713768,Swap-based,Capitalizing,0,,,0,6.29,15.1378333333333
Amundi ETF MSCI EUROPE MATERIALS,FR0010791137,Swap-based,Capitalizing,0,,,0,6.77,16.5623333333333
Amundi ETF MSCI EUROPE TELECOM SERVICES,FR0010713735,Swap-based,Capitalizing,1.00128076,,,8.587926800914225e-05,7.97,19.2853333333333
Amundi ETF MSCI EUROPE UTILITIES,FR0010688234,Swap-based,Capitalizing,0,,,0,5.51,18.2375
Amundi ETF MSCI Germany,FR0010655712,Swap-based,Capitalizing,4.84624811,0,,0.0004156598797299262,36.93,5.4924347826087
Amundi ETF MSCI India,FR0010713727,Swap-based,Capitalizing,2.51039844,0,,0.000215315413070049,10.2,39.3286086956522
Amundi ETF MSCI Japan,FR0010688242,Swap-based,Capitalizing,0.5952421,0,,5.1053568467873733e-05,50.86,17.6644347826087
Amundi ETF MSCI Pacific ex Japan,FR0010713669,Swap-based,Capitalizing,0.34709256,0,,2.9769926852703418e-05,77.99,28.294
Amundi ETF MSCI USA,FR0010688275,Swap-based,Capitalizing,0,1.065293,-1,0,179.77,13.6515652173913
Amundi ETF MSCI World ex EMU,FR0010756114,Swap-based,Capitalizing,0,0,,0,89.92,19.5340869565217
Amundi ETF MSCI World ex Europe,FR0010756122,Swap-based,Capitalizing,0,0,,0,6.51,20.412652173913
Amundi ETF Short DAX 30,FR0010791178,Swap-based,Capitalizing,2.90634317,0.49532571,4.867539502441737,0.0002492753621101938,4.53,9.01317391304348
Amundi ETF Short Dow Jones EURO STOXX 50,FR0010757781,Swap-based,Capitalizing,0.0039831,3.845e-05,102.59167750325098,3.416281687138525e-07,3.91,24.248347826087
ComStage ETF ATX,LU0392496690,Swap-based,Capitalizing,3.38096726,2.76934532,0.22085434257075587,0.0002899835940637422,28.149792,24.7298260869565
ComStage ETF Commerzbank Commodity EW Index TR,LU0419741177,Swap-based,Capitalizing,1.9612321799999999,1.2500841,0.5688801897408342,0.00016821374258142572,152.1105,52.3619130434783
ComStage ETF Commerzbank EONIA Index TR,LU0378437684,Swap-based,Capitalizing,65.005039529,22.756960116,1.8564904625946133,0.005575444405479115,356.9825,2.936
ComStage ETF Commerzbank FED Funds Effective Rate Index TR,LU0378437767,Swap-based,Capitalizing,5.288168730000001,5.78518147,-0.08591134825715319,0.00045356315409599544,66.81599999999999,27.3282173913043
ComStage ETF DAX TR,LU0378438732,Swap-based,Capitalizing,180.132008982,352.454664651,-0.4889214782832668,0.015449817568041951,443.68725,6.42821739130435
ComStage ETF DJ EURO STOXX 50,LU0378434079,Swap-based,Capitalizing,77.324995124,215.002181442,-0.6403525089588007,0.0066321198262709186,274.89125,9.00404347826087
ComStage ETF DJ EURO STOXX 50 Leveraged TR,LU0392496930,Swap-based,Capitalizing,0.86498176,1.07457423,-0.19504699084399224,7.418898210933322e-05,15.49924,34.9372173913044
ComStage ETF DJ EURO STOXX 50 Short TR,LU0392496856,Swap-based,Capitalizing,6.59947313,4.14028502,0.5939658980289235,0.0005660329692646875,28.26248,18.3267826086957
ComStage ETF DJ EURO STOXX Select Dividend 30 TR,LU0378434236,Swap-based,Capitalizing,1.017068804,0.79277284,0.28292589337445007,8.723339935389726e-05,127.92192,8.4924347826087
ComStage ETF DJ STOXX 600 Automobiles & Parts TR,LU0378435043,Swap-based,Capitalizing,0.038507120000000006,0.13423535,-0.7131372622785279,3.302733270077218e-06,8.851,26.166347826087
ComStage ETF DJ STOXX 600 Banks TR,LU0378435399,Swap-based,Capitalizing,3.790911443,7.55313881,-0.49810118172579965,0.0003251442680395868,59.102,40.0459565217391
