XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Turnover Report: September 2012,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Issuer,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,,09/2012,08/2012,Change (%),Market Share,in MEUR,"100,000€"
iShares DAX (DE),DE0005933931,iShares,Full Replication,Accumulating,908.58844959,1463.00089256,-0.37895564233038403,0.08842116388989449,12775.890000000001,4.10655
iShares EURO STOXX 50 (DE),DE0005933956,iShares,Full Replication,Distributing,458.42642650700003,389.706578946,0.17633740684301435,0.0446127156997487,2995.96,7.90475
iShares EURO STOXX 50,IE0008471009,iShares,Full Replication,Distributing,431.038066223,229.183057825,0.8807588585022406,0.04194736078087444,3893.175,8.1069
db x-trackers DAX ETF,LU0274211480,db X-trackers,Swap-based,Accumulating,373.656811989,773.912448871,-0.517184647263268,0.036363185363366406,6487.9112327784005,4.4377
iShares S&P 500,DE0002643889,iShares,Full Replication,Distributing,310.86064245,176.345419147,0.7627939753335429,0.030252046265162938,8367.666,4.05915
db x-trackers ShortDAX Daily ETF,LU0292106241,db X-trackers,Swap-based,Accumulating,292.74615888700004,406.55497174,-0.279934623271027,0.028489197837332288,581.5578887228,5.85995
ETFlab DAX,DE000ETFL011,ETFlab,Full Replication,Accumulating,226.75355307499999,345.508529798,-0.34371069447237546,0.022066990933142426,627.2693489400001,4.3731
db x-trackers MSCI Emerging Markets TRN Index ETF,LU0292107645,db X-trackers,Swap-based,Accumulating,186.634746498,211.651898367,-0.1181995156292942,0.018162746307302604,2825.916156647161,11.6741
iShares EURO STOXX Banks (DE),DE0006289309,iShares,Full Replication,Distributing,182.76437355599998,101.753633806,0.796145913613781,0.017786092960703246,296.448,20.7871
STOXX Europe 600 Source ETF,IE00B60SWW18,Source Markets,Swap-based,Accumulating,179.39236591,13.49440535,12.29383261115689,0.017457939063480046,292.94561155,34.51205
iShares MSCI Emerging Markets,DE000A0HGZT7,iShares,Optimised,Distributing,150.16698266699998,159.66582577900002,-0.05949202382949348,0.0146138104564739,4870.08,12.3938
Lyxor ETF LevDAX,LU0252634307,Lyxor ETF,Swap-based,Accumulating,142.39439882,162.85540911,-0.12563912001338384,0.013857405386066435,224.5391108107,9.8974
Lyxor ETF DAX,LU0252633754,Lyxor ETF,Swap-based,Accumulating,127.271706985,112.19302398,0.1343994703956637,0.012385709357130233,632.34546925,5.32335
iShares STOXX Europe 600 (DE),DE0002635307,iShares,Full Replication,Distributing,125.69045136300001,84.38607043799999,0.4894691826579023,0.012231826196313286,1594.068,13.36355
ComStage ETF EURO STOXX 50 NR,LU0378434079,ComStage ETF,Swap-based,Accumulating,122.380629694,40.495751973,2.022060925689086,0.011909724056039508,169.14883928,8.1231
iShares MDAX (DE),DE0005933923,iShares,Full Replication,Accumulating,115.981421042,131.019596326,-0.11477806149381165,0.01128697183280857,811.701,9.87495
db x-trackers MSCI World TRN Index ETF,LU0274208692,db X-trackers,Swap-based,Accumulating,114.35519247,130.236261213,-0.12194045341202386,0.011128712036360434,1865.501195329847,11.247
Lyxor ETF Japan (Topix),FR0010245514,Lyxor ETF,Swap-based,Distributing,112.955916395,76.281000214,0.48078703842518555,0.01099253859148491,360.17183505300005,10.4952
ETFX DAX 2x Short Fund (ShortDAX x2),DE000A0X9AA8,ETF Securities,Swap-based,Accumulating,104.166570749,104.31661002,-0.0014383066222266594,0.010137185243992331,108.7898581383,14.50225
iShares STOXX Europe 600 Banks (DE),DE000A0F5UJ7,iShares,Full Replication,Distributing,99.21822148000001,19.483979801,4.092297492266324,0.00965562640192679,253.087,20.05505
db x-trackers EURO STOXX 50 ETF,LU0274211217,db X-trackers,Swap-based,Distributing,98.441469349,112.87156483599999,-0.12784526827431353,0.009580035162011766,1217.646269986,8.17285
iShares MSCI World,DE000A0HGZR1,iShares,Optimised,Distributing,94.71925069400001,133.367101508,-0.2897854896522716,0.00921779975622789,3602.88,11.0956
ComStage ETF DAX TR,LU0378438732,ComStage ETF,Swap-based,Accumulating,93.25497652,140.4248766,-0.3359084317685632,0.009075300886935176,575.0237897899999,6.53035
"iShares eb.rexx Government Germany 5,5-10,5 (DE)",DE0006289499,iShares,Full Replication,Distributing,91.638564851,100.628720291,-0.0893398565936454,0.008917996442703377,650.0252000000002,5.20185
"iShares eb.rexx Government Germany 1,5-2,5 (DE)",DE0006289473,iShares,Full Replication,Distributing,86.944411789,66.831970479,0.30094042066767646,0.008461175230187799,990.9108,4.10325
iShares STOXX  Europe 50 (DE),DE0005933949,iShares,Full Replication,Distributing,78.06831485,29.427431358,1.65290958970419,0.007597379501219346,309.5645,13.84985
db x-trackers II EONIA Total Return Index ETF,LU0290358497,db X-trackers,Swap-based,Accumulating,74.701443129,131.62168356200002,-0.4324533685681653,0.007269725417158372,1302.258278152,0.3693
ETFlab EURO STOXX 50 ,DE000ETFL029,ETFlab,Full Replication,Distributing,71.768687704,44.455072614,0.6144094134579878,0.006984318258174656,695.56328311,15.6171
db x-trackers Stoxx® Europe 600 Banks ETF,LU0292103651,db X-trackers,Swap-based,Accumulating,71.123852214,31.401372708,1.2649918166118916,0.0069215647589759375,120.1933310592,14.0728
db x-trackers MSCI Europe TRN Index ETF,LU0274209237,db X-trackers,Swap-based,Accumulating,70.615987486,81.19917804,-0.1303361783882414,0.006872140852730323,1078.5129326350345,13.78305
ETFlab Deutsche Börse EuroGOV®  Germany 5-10,DE000ETFL201,ETFlab,Full Replication,Distributing,67.63129368999999,99.13786362,-0.3178056171430741,0.00658167920376664,323.89509722,5.45185
db x-trackers Stoxx® Europe 600 ETF,LU0328475792,db X-trackers,Swap-based,Accumulating,63.054347636,36.661418959,0.7199101787772131,0.006136264233613146,369.81913206160004,11.2047
ETFX DAX 2x Long Fund (LevDAX x2),DE000A0X8994,ETF Securities,Swap-based,Accumulating,61.428750621,32.097534532000005,0.9138152358636114,0.005978065898440494,22.943388419000005,10.82115
iShares Markit iBoxx Euro High Yield Bond,DE000A1C8QT0,iShares,Optimised,Distributing,59.4539654,25.230817865,1.3564026230982429,0.005785885590896219,1456.56918352,17.75225
