Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,ETF Segment of Deutsche Börse Group,,,,,,,,,,,,
,Monthly Report: August 2022,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Product Name,ISIN,Xetra Ticker,Product Family,ETF Type,Replication,Income Treatment,Trd Cry,Xetra Order Book Turnover (€ m)	,,Assets under Management (€ m),Xetra Liquidity Measure (XLM)*
,,Exchange Traded Funds,,,,,,,,08-2022,July 2022,August 2022,August 2022
,1,iShares Core MSCI World UCITS ETF,IE00B4L5Y983,EUNL,iShares,Passive,Optimised,Accumulating,EUR,610.7086486000001,697.9443483,41762.5439,3.13095652173913
,2,iShares Core DAX UCITS ETF (DE) EUR (Acc),DE0005933931,EXS1,iShares,Passive,Full Replication,Accumulating,EUR,526.71033418,675.93008068,4852.4131,3.46060869565217
,3,iShares Core EURO STOXX 50 UCITS ETF (DE),DE0005933956,EXW1,iShares,Passive,Full Replication,Distributing,EUR,367.487523975,772.24554498,4375.5896,3.89226086956522
,4,iShares Core S&P 500 UCITS ETF USD (Acc),IE00B5BMR087,SXR8,iShares,Passive,Full Replication,Accumulating,EUR,315.60304556,248.23142202,52207.5976,3.8465652173913
,5,iShares Global Clean Energy UCITS ETF USD (Dist),IE00B1XNHC34,IQQH,iShares,Passive,Full Replication,Distributing,EUR,262.133047072,132.142705038,6522.1939,11.050347826087
,6,iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,EXSA,iShares,Passive,Full Replication,Distributing,EUR,220.13793763,271.16379266,5178.6941,4.44682608695652
,7,iShares Nasdaq-100 UCITS ETF (DE),DE000A0F5UF5,EXXT,iShares,Passive,Full Replication,Distributing,EUR,174.00069298,92.08946037999999,2649.3479,7.936
,8,Xtrackers DAX UCITS ETF 1C,LU0274211480,DBXD,Xtrackers,Passive,Full Replication,Accumulating,EUR,153.5368997,186.2564129,3337.7478,3.59213043478261
,9,Vanguard FTSE All-World UCITS ETF - (USD) Accumulating,IE00BK5BQT80,VWCE,Vanguard,Passive,Optimised,Accumulating,EUR,150.02497676,113.76878388,5209.7925,6.36882608695652
,10,iShares Nasdaq-100 UCITS ETF USD (Acc),IE00B53SZB19,SXRV,iShares,Passive,Full Replication,Accumulating,EUR,148.7771338,117.3584763,7219.6065,4.58730434782609
,11,Vanguard FTSE All-World UCITS ETF,IE00B3RBWM25,VGWL,Vanguard,Passive,Optimised,Distributing,EUR,138.30179748,140.50369158,8127.9929,5.87130434782609
,12,iShares MSCI USA SRI UCITS ETF USD (Acc),IE00BYVJRR92,QDVR,iShares,Passive,Full Replication,Accumulating,EUR,129.287199466,99.877882236,8068.4956,6.6465652173913
,13,Xtrackers ShortDAX Daily Swap UCITS ETF 1C,LU0292106241,DXSN,Xtrackers,Passive,Swap-based,Accumulating,EUR,124.372064622,150.972597474,411.4311,5.02404347826087
,14,iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR (Dist),DE0006289309,EXX1,iShares,Passive,Full Replication,Distributing,EUR,119.611649386,208.186339434,1122.8521,8.22578260869565
,15,Xtrackers MSCI World UCITS ETF 1C,IE00BJ0KDQ92,XDWD,Xtrackers,Passive,Optimised,Accumulating,EUR,108.332448058,109.326887016,7928.1302,6.98778260869565
,16,iShares Core MSCI EM IMI UCITS ETF USD (Acc),IE00BKM4GZ66,IS3N,iShares,Passive,Optimised,Accumulating,EUR,97.487108829,121.251400537,14989.3983,7.45052173913043
,17,iShares MSCI ACWI UCITS ETF USD (Acc),IE00B6R52259,IUSQ,iShares,Passive,Optimised,Accumulating,EUR,93.02541821999999,95.06906790000001,5375.524,8.03308695652174
,18,Xtrackers ShortDAX x2 Daily Swap UCITS ETF 1C,LU0411075020,DBPD,Xtrackers,Passive,Swap-based,Accumulating,EUR,90.7445286426,110.2749994576,181.6506,7.03178260869565
,19,iShares MSCI World SRI UCITS ETF EUR (Acc),IE00BYX2JD69,2B7K,iShares,Passive,Optimised,Accumulating,EUR,88.721731029,89.854459601,4222.2657,7.33134782608696
,20,Xtrackers EURO STOXX 50 UCITS ETF 1C,LU0380865021,DXET,Xtrackers,Passive,Full Replication,Accumulating,EUR,86.0403841,58.0310309,2720.6937,4.41334782608696
,21,Invesco EQQQ Nasdaq-100 UCITS ETF Dist,IE0032077012,EQQQ,Invesco,Passive,Full Replication,Distributing,EUR,85.3540402,96.2557341,4475.6681,6.12895652173913
,22,iShares S&P 500 Information Technology Sector UCITS ETF USD (Acc),IE00B3WJKG14,QDVE,iShares,Passive,Full Replication,Accumulating,EUR,77.72956263600001,39.75249685,3159.1778,8.59482608695652
,23,iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE),DE000A0H08J9,EXH4,iShares,Passive,Full Replication,Distributing,EUR,75.28251121,86.12042515,218.2276,11.5954347826087
,24,Vanguard S&P 500 UCITS ETF,IE00B3XXRP09,VUSA,Vanguard,Passive,Full Replication,Distributing,EUR,72.443133104,45.271462646,28526.4771,6.00108695652174
,25,iShares Core S&P 500 UCITS ETF USD (Dist),IE0031442068,IUSA,iShares,Passive,Optimised,Distributing,EUR,72.155884668,82.801953459,12199.1379,5.61960869565217
,26,Xtrackers EURO STOXX 50 UCITS ETF 1D,LU0274211217,DBXE,Xtrackers,Passive,Full Replication,Distributing,EUR,68.980181845,31.535487325,2000.3489,4.864
,27,iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),IE00B8FHGS14,IQQ0,iShares,Passive,Optimised,Accumulating,EUR,68.91902631999999,46.59252734,3860.5823,8.85226086956522
,28,Xtrackers II Eurozone Government Bond 5-7 UCITS ETF 1C,LU0290357176,DBXR,Xtrackers,Passive,Optimised,Accumulating,EUR,66.98680883,16.14175557,714.551,7.02373913043478
,29,iShares Core MSCI Europe UCITS ETF EUR (Acc),IE00B4K48X80,EUNK,iShares,Passive,Optimised,Accumulating,EUR,65.01028777,45.99242032,4943.0817,6.64439130434783
,30,iShares MDAX UCITS ETF (DE) EUR (Acc),DE0005933923,EXS3,iShares,Passive,Full Replication,Accumulating,EUR,64.73459679999999,67.85154605,1148.9074,6.95130434782609
,31,Deka MSCI World UCITS ETF,DE000ETFL508,ELFW,Deka ETF,Passive,Full Replication,Distributing,EUR,64.265165604,71.103913286,1267.1258,7.57573913043478
,32,HSBC MSCI World UCITS ETF,IE00B4X9L533,H4ZJ,HSBC ETF,Passive,Optimised,Distributing,EUR,62.675833577,78.749661065,4544.7715,7.06386956521739
,33,iShares EUR Covered Bond UCITS ETF EUR (Dist),IE00B3B8Q275,IUS6,iShares,Passive,Optimised,Distributing,EUR,62.11179639,14.386019695,908.5134,15.35
,34,iShares Global Water UCITS ETF USD (Dist),IE00B1TXK627,IQQQ,iShares,Passive,Full Replication,Distributing,EUR,62.08464147,26.412175365,1992.6009,8.16160869565217
,35,Deka EURO STOXX 50 UCITS ETF,DE000ETFL029,EL4B,Deka ETF,Passive,Full Replication,Distributing,EUR,60.87201088499999,60.61600667499999,802.3744,4.64308695652174
,36,iShares Nasdaq-100 UCITS ETF EUR Hedged (Acc),IE00BYVQ9F29,NQSE,iShares,Passive,Full Replication,Accumulating,EUR,60.106434147,59.420675596,275.2181,16.2580434782609
,37,Lyxor Core STOXX Europe 600 (DR) - UCITS ETF Acc,LU0908500753,LYP6,Amundi,Passive,Full Replication,Accumulating,EUR,58.8466629,41.48240422,4560.158,7.39247826086956
,38,iShares MSCI World EUR Hedged UCITS ETF (Acc),IE00B441G979,IBCH,iShares,Passive,Optimised,Accumulating,EUR,58.619398994,187.371255956,2293.2188,6.93534782608696
,39,VanEck Semiconductor UCITS ETF - USD Acc,IE00BMC38736,VVSM,VanEck,Passive,Full Replication,Accumulating,EUR,55.931787181,40.12232146100001,647.8924,19.8525652173913
,40,Lyxor Core MSCI World (DR) UCITS ETF,LU1781541179,LCUW,Amundi,Passive,Optimised,Accumulating,EUR,54.9523549975,44.611051646,1954.8859,9.6055652173913
,41,Lyxor Nasdaq-100 UCITS ETF - Acc,LU1829221024,LYMS,Amundi,Passive,Swap-based,Accumulating,EUR,54.405541615,21.82525365,1492.1814,11.5955652173913
,42,iShares STOXX Global Select Dividend 100 UCITS ETF (DE),DE000A0F5UH1,ISPA,iShares,Passive,Full Replication,Distributing,EUR,53.563559755,44.935427375,1936.7592,11.9310869565217
,43,Xtrackers MSCI USA UCITS ETF 1C,IE00BJ0KDR00,XD9U,Xtrackers,Passive,Full Replication,Accumulating,EUR,53.44754971,33.39414366,5452.8155,7.69573913043478
,44,Xtrackers MSCI USA ESG UCITS ETF,IE00BFMNPS42,XZMU,Xtrackers,Passive,Full Replication,Accumulating,EUR,52.443989445,52.21830165,5041.2886,8.51504347826087
,45,iShares EUR High Yield Corp Bond UCITS ETF,IE00B66F4759,EUNW,iShares,Passive,Optimised,Distributing,EUR,52.161688092,34.45602313000001,3771.5625,23.4612608695652
,46,iShares EUR Govt Bond 7-10yr UCITS ETF EUR (Acc),IE00B3VTN290,SXRQ,iShares,Passive,Optimised,Accumulating,EUR,51.65994101,96.9095119699999,208.7454,10.3339130434783
,47,iShares Core EUR Govt Bond UCITS ETF EUR (Dist),IE00B4WXJJ64,EUNH,iShares,Passive,Optimised,Distributing,EUR,50.788802665,33.335970325,3860.0821,8.1085652173913
,48,Lyxor MSCI World (LUX) UCITS ETF,LU0392494562,X010,Amundi,Passive,Swap-based,Distributing,EUR,49.423672418,55.394186936,3283.0098,8.2525652173913
,49,UBS ETF (LU) MSCI World Socially Responsible UCITS ETF (USD) A-dis,LU0629459743,UIMM,UBS ETF,Passive,Full Replication,Distributing,EUR,49.36440588,81.63659638,3058.5162,10.7014782608696
,50,iShares MSCI World UCITS ETF USD (Dist),IE00B0M62Q58,IQQW,iShares,Passive,Optimised,Distributing,EUR,49.01771917,68.39823736,5256.6901,7.37582608695652
,51,Amundi Nasdaq-100 UCITS ETF - EUR (C),LU1681038243,6AQQ,Amundi,Passive,Swap-based,Accumulating,EUR,48.81982446,11.77131824,764.743,10.2180434782609
