XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Turnover Report: February 2016,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Product Family,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,,02/2016,01/2016,Change (%),Market Share,in MEUR,100000
iShares Core DAX UCITS ETF (DE),DE0005933931,iShares,Full Replication,Accumulating,1722.736571518,1729.877076501,-0.004127752821283193,0.10861485652301286,8594.85450482,3.964619047619048
iShares EURO STOXX 50 UCITS ETF (DE),DE0005933956,iShares,Full Replication,Distributing,997.928142901,941.634040363,0.05978341916812879,0.06291723520210664,7430.834751609999,6.683142857142857
db x-trackers DAX UCITS ETF (DR) 1C ,LU0274211480,db X-trackers,Full Replication,Accumulating,680.1358666030001,836.6308049529999,-0.18705376065944812,0.04288111182439597,4475.4527978208,4.748285714285714
iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,iShares,Full Replication,Distributing,638.393744761,1015.999905837,-0.37165964180372724,0.04024936031357736,5748.43829219,7.459380952380952
Deka DAX UCITS ETF,DE000ETFL011,Deka ETFs,Full Replication,Accumulating,619.205436079,972.285437167,-0.36314438907651236,0.03903957848803786,1306.7312038399998,5.883333333333334
db x-trackers ShortDAX Daily UCITS ETF 1C ,LU0292106241,db X-trackers,Swap-based,Accumulating,375.349502804,335.11966872100004,0.12004617406235507,0.02366498341479872,346.0241392068,7.445238095238096
iShares EURO STOXX Banks 30-15 UCITS ETF (DE) ,DE0006289309,iShares,Full Replication,Distributing,354.49735337699997,247.059400866,0.4348668868069996,0.022350299988641263,862.79269846,16.78233333333333
ComStage DAX TR UCITS ETF,LU0378438732,ComStage,Swap-based,Accumulating,340.878978379,185.409197468,0.8385224845052939,0.02149169056980192,657.0190017000001,6.659523809523809
iShares EURO STOXX 50 UCITS ETF (Dist),IE0008471009,iShares,Full Replication,Distributing,322.273304571,498.729824199,-0.35381184574514535,0.020318642627022595,5954.9414822399995,8.995476190476191
