XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Turnover Report: April 2021,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Product Family,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,,04-2021,03-2021,Change (%),Market Share,in MEUR,100000
iShares Core MSCI World UCITS ETF,IE00B4L5Y983,iShares,Optimised,Accumulating,483.48550538999996,558.2637896699999,-0.13394793942161787,0.03278309496031525,29020.065899925514,3.46155
iShares Core DAX UCITS ETF (DE) EUR (Acc),DE0005933931,iShares,Full Replication,Accumulating,434.65323542000004,746.94419296,-0.41809141898867885,0.029471986507823122,6920.96139383,3.12235
iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,iShares,Full Replication,Distributing,412.21367322000003,573.07928651,-0.2807039393617883,0.027950455272099512,6098.44009957,3.9071
iShares Global Clean Energy UCITS ETF USD (Dist),IE00B1XNHC34,iShares,Full Replication,Distributing,348.43288416,696.96919177,-0.5000741951374761,0.02362575134387899,4516.169111132263,11.88295
Xtrackers EURO STOXX 50 UCITS ETF 1C,LU0380865021,Xtrackers,Full Replication,Accumulating,214.63191496000002,421.47111634,-0.49075534090251427,0.014553276926000523,4301.784958745,3.9968
iShares Core EURO STOXX 50 UCITS ETF (DE),DE0005933956,iShares,Full Replication,Distributing,199.66133396,334.29536966,-0.402739756272818,0.013538185526025242,5800.58674695,3.4436
iShares Core S&P 500 UCITS ETF USD (Acc),IE00B5BMR087,iShares,Full Replication,Accumulating,176.41135087,218.01752715,-0.1908386762472276,0.011961703097973205,37606.162430922035,3.2783
iShares Core MSCI EM IMI UCITS ETF USD (Acc),IE00BKM4GZ66,iShares,Optimised,Accumulating,172.84844442,211.02567134999998,-0.18091271401137043,0.011720117571245052,15732.946390349282,7.17435
Xtrackers DAX UCITS ETF 1C,LU0274211480,Xtrackers,Full Replication,Accumulating,139.59398218,234.46793128,-0.4046350756031628,0.009465273979628487,3985.9260794976,3.1402
