European ETF Statistics ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
February 2008,,,,,,,,,
,,,,,,,,,
XTF Exchange Traded Funds,ISIN,Xetra Order Book Turnover in MEUR,,,,Average Daily Turnover in MEUR,,,
,,02/2008,01/2008,Change (%),Market Share,02/2008,01/2008,Change (%),Market Share
db x-trackers Currency Carry ETF,LU0328474126,0.1135696,,,4.4590036737962754e-06,0.006309422222222223,,,5.157262946368203e-06
db x-trackers Currency Momentum ETF,LU0328474043,0.00287895,,,1.1303419776661875e-07,0.00015994166666666667,,,1.307348283294714e-07
db x-trackers Currency Returns ETF,LU0328474472,2.4697538900000002,,,9.696821745328541e-05,0.13720854944444447,,,0.00011215299009194126
db x-trackers Currency Valuation ETF,LU0328473748,0.01413,,,5.547762949833527e-07,0.000785,,,6.416516870023554e-07
db x-trackers DAX ETF,LU0274211480,212.18279811000002,314.43945223000003,-0.3252030029781483,0.008330784613918367,10.103942767142858,14.29270237409091,-0.2930698126437744,0.008258868690334346
db x-trackers DBLCI - OY Balanced ETF,LU0292106167,25.9898397,15.47880762,0.6790595463192404,0.0010204208758653396,1.2376114142857144,0.7035821645454545,0.759014762810633,0.0010116120405475155
db x-trackers DJ Euro STOXX 50 ETF,LU0274211217,115.53747265000001,391.22638419,-0.7046787299654897,0.004536266879582976,5.5017844119047625,17.783017463181817,-0.6906158123447989,0.004497107324104398
db x-trackers DJ Euro STOXX 50 Short ETF,LU0292106753,102.170643,93.16723051999999,0.09663711618075066,0.004011454407615486,4.8652687142857145,4.2348741145454545,0.14885793123697666,0.003976825322600267
db x-trackers DJ Euro STOXX Select Dividend 30 ETF,LU0292095535,2.6940788700000002,6.944152030000001,-0.6120363064689411,0.00010577573205177194,0.12828947000000002,0.31564327409090914,-0.5935618448722242,0.00010486261764348799
db x-trackers DJ STOXX 600 Banks ETF,LU0292103651,15.32754599,10.842019,0.4137169460780321,0.0006017947045661108,0.7298831423809524,0.49281904545454547,0.48103680065317667,0.0005965996810488133
db x-trackers DJ STOXX 600 Basic Resources ETF,LU0292100806,5.86993617,1.98675127,1.9545400366096155,0.0002304671932187807,0.27952077,0.09030687590909091,2.095232419305311,0.00022847767340471002
db x-trackers DJ STOXX 600 Food&Beverage ETF,LU0292105359,1.115834,0.53423978,1.0886389253903928,4.38102089410088e-05,0.05313495238095238,0.024283626363636367,1.1880979218375542,4.3432015075194796e-05
db x-trackers DJ STOXX 600 Health Care ETF,LU0292103222,2.15540808,2.36427848,-0.0883442461481948,8.462627804667952e-05,0.10263848,0.10746720363636363,-0.044932067393346875,8.389573738007327e-05
db x-trackers DJ STOXX 600 Industrial Goods ETF,LU0292106084,1.27019283,1.09341644,0.16167343340840934,4.987069158823917e-05,0.06048537285714286,0.04970074727272727,0.21699121595166715,4.944018029649961e-05
db x-trackers DJ STOXX 600 Insurance ETF,LU0292105193,0.95596575,0.9568206899999999,-0.0008935216482410802,3.753341379447855e-05,0.04552217857142857,0.04349184954545454,0.04668297732089033,3.720940468328613e-05
db x-trackers DJ STOXX 600 Oil&Gas ETF,LU0292101796,2.85256528,2.5608220299999997,0.11392562489006708,0.00011199827298206297,0.1358364419047619,0.11640100136363635,0.16696970226578478,0.00011103144217144958
db x-trackers DJ STOXX 600 Technology ETF,LU0292104469,0.52889135,1.29101306,-0.5903284278162144,2.076549070076034e-05,0.02518530238095238,0.05868241181818182,-0.5708202577122246,2.0586231541914056e-05
db x-trackers DJ STOXX 600 Telecommunications ETF,LU0292104030,2.62303896,1.0223586199999999,1.565674029334247,0.000102986541813573,0.12490661714285715,0.04647084636363636,1.6878489831120684,0.00010209750523244793
db x-trackers DJ STOXX 600 Utilities ETF,LU0292104899,1.8400550900000001,2.99981264,-0.38660999508289284,7.224479443704597e-05,0.08762167095238096,0.13635512,-0.3574009472296972,7.162113755994972e-05
db x-trackers DJ STOXX Global Select Dividend 100 ETF,LU0292096186,2.28055327,5.86137173,-0.6109181647143203,8.953976600444229e-05,0.10859777476190476,0.2664259877272727,-0.592390458272145,8.876680940213758e-05
db x-trackers FTSE 100 ETF,LU0292097234,19.77233437,8.5765004,1.3054082023945335,0.0007763073181146923,0.9415397319047619,0.3898409272727273,1.4151895453657022,0.0007696058055495999
db x-trackers FTSE 250 ETF,LU0292097317,12.16289969,9.114804710000001,0.33441144127376465,0.00047754341304121503,0.5791856995238095,0.41430930500000007,0.39795484323918195,0.00047342099514279196
db x-trackers FTSE All-Share ETF,LU0292097747,0.34609734999999997,0.06121,4.6542615585688605,1.3588577886522055e-05,0.016480826190476187,0.0027822727272727274,4.923512108976901,1.3471273794027577e-05
db x-trackers FTSE Vietnam ETF,LU0322252924,5.2707248700000005,,,0.0002069407795651248,0.29281804833333336,,,0.000239346744837988
db x-trackers FTSE/XINHUA China 25 ETF,LU0292109856,30.51677185,18.89636536,0.6149545835199706,0.0011981586427314418,1.453179611904762,0.8589256981818182,0.6918571827352074,0.0011878154770651192
db x-trackers II EONIA TR Index ETF,LU0290358497,262.14366437,249.13493162999998,0.05221561125486729,0.0102923631190763,12.483031636666666,11.324315074090908,0.10232111655271803,0.01020351376888018
db x-trackers II FED Funds Effective Rate TRI ETF,LU0321465469,5.79723125,0.08054910000000001,70.97139694919,0.00022761263085893207,0.276058630952381,0.026849700000000004,9.28162813559857,0.0002256477532001986
