XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Turnover Report: August 2013,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Issuer,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,,08/2013,072013,Change (%),Market Share,in MEUR,"100,000€"
iShares DAX (DE),DE0005933931,iShares,Full Replication,Accumulating,596.858337992,973.7005659859999,-0.38702065209585,0.07734059412267578,13999.233,3.83204545454545
Deka DAX® UCITS ETF,DE000ETFL011,Deka,Full Replication,Accumulating,524.1898446380001,712.916404171,-0.2647246695809401,0.06792424841339728,637.77967444,4.04922727272727
iShares EURO STOXX 50 (DE),DE0005933956,iShares,Full Replication,Distributing,425.45714082200004,352.00257880000004,0.2086762042267174,0.05513051581990208,3890.634,6.65863636363636
db x-trackers DAX® UCITS ETF,LU0274211480,db X-trackers,Swap-based,Accumulating,298.149413633,320.77598221799997,-0.07053697857473296,0.03863404650638005,6974.482474196519,3.73872727272727
iShares EURO STOXX 50 UCITS ETF (Inc),IE0008471009,iShares,Full Replication,Distributing,250.094369718,216.77402365400002,0.15371005022808282,0.03240709881979652,4762.2515,6.25236363636364
ComStage ETF DAX TR,LU0378438732,ComStage ETF,Swap-based,Accumulating,193.236930753,111.484079666,0.7333141317749308,0.025039541344364525,644.7226668,6.10454545454546
iShares STOXX Europe 600 (DE),DE0002635307,iShares,Full Replication,Distributing,180.456910595,112.086842431,0.609974076181941,0.02338351295537561,2364.715,10.1075454545455
iShares S&P 500 UCITS ETF (Inc),DE0002643889,iShares,Full Replication,Distributing,162.402502852,223.127053359,-0.2721523436662667,0.02104403215650743,10875.456799860001,4.19268181818182
iShares MDAX (DE),DE0005933923,iShares,Full Replication,Accumulating,160.919976667,116.783710884,0.3779316948306264,0.02085192718175568,1191.513,9.12622727272727
db x-trackers ShortDAX® Daily UCITS ETF,LU0292106241,db X-trackers,Swap-based,Accumulating,125.932441009,117.372066467,0.07293366130182966,0.016318260443042392,415.71150058240005,8.96409090909091
iShares MSCI Japan EUR Hedged UCITS ETF,DE000A1H53P0,iShares,Optimised,Accumulating,124.179111926,212.48637037700001,-0.41559022488982467,0.016091064969108,2123.40510801,14.6979545454545
Deka EURO STOXX 50® UCITS ETF,DE000ETFL029,Deka,Full Replication,Distributing,106.059953848,104.423794945,0.015668448976229765,0.013743193855386568,751.36799649,7.78936363636364
Lyxor ETF LevDAX,LU0252634307,Lyxor ETF,Swap-based,Accumulating,101.026911759,165.39003857,-0.389159633600054,0.013091014869804716,184.0709438,11.1202727272727
db x-trackers MSCI Emerging Markets Index UCITS ETF,LU0292107645,db X-trackers,Swap-based,Accumulating,94.16425446,129.90806252500002,-0.2751469567804642,0.012201755293486135,2120.346411121618,16.4695909090909
db x-trackers MSCI World Index UCITS ETF,LU0274208692,db X-trackers,Swap-based,Accumulating,94.04821406999999,91.269098147,0.03044969194857039,0.012186718839886406,2166.103165368911,9.08645454545455
iShares MSCI Emerging Markets UCITS ETF (Inc),DE000A0HGZT7,iShares,Optimised,Distributing,78.16289729500001,84.167299131,-0.07133889168350993,0.010128307724547553,3778.6461305300004,17.7369545454545
Deka DAX® (ausschüttend) UCITS ETF,DE000ETFL060,Deka,Full Replication,Distributing,77.043463008,104.72734810600001,-0.2643424625817862,0.009983252009770835,318.92479173000004,6.90227272727273
"iShares eb.rexx Government Germany 5,5-10,5 (DE)",DE0006289499,iShares,Full Replication,Distributing,76.545188709,51.282309201,0.49262367279489405,0.009918685884330803,442.78,5.23109090909091
db x-trackers MSCI Europe Index UCITS ETF,LU0274209237,db X-trackers,Swap-based,Accumulating,75.050120698,59.214918073,0.2674191426808765,0.00972495574626562,987.3562267804754,10.7542727272727
db x-trackers Euro Stoxx 50® UCITS ETF,LU0380865021,db X-trackers,Swap-based,Accumulating,68.208537147,46.23077593,0.4753924366373923,0.008838426895291674,794.500687214432,7.66704545454545
iShares EURO STOXX Banks (DE),DE0006289309,iShares,Full Replication,Distributing,64.08386299,104.90120005,-0.3891026703273639,0.008303953755588124,308.112,17.5400454545455
db x-trackers Euro Stoxx 50® UCITS ETF,LU0274211217,db X-trackers,Swap-based,Distributing,54.037007986,54.19581229200001,-0.0029301951439419938,0.00700208749082606,1222.10795674744,9.21377272727273
db x-trackers II EONIA UCITS ETF,LU0290358497,db X-trackers,Swap-based,Accumulating,49.746544803000006,89.79752043799999,-0.44601427121423554,0.006446131495051509,683.4440179638,0.541590909090909
db x-trackers Stoxx® Europe 600 UCITS ETF,LU0328475792,db X-trackers,Swap-based,Accumulating,47.108333693999995,58.006928025,-0.18788435626694278,0.006104273466767017,528.4215570058,10.4706363636364
iShares MSCI World UCITS ETF (Inc),DE000A0HGZR1,iShares,Optimised,Distributing,45.98173267,114.57629616,-0.5986802313299704,0.00595828908992391,4705.77952496,12.0013636363636
db x-trackers II iBoxx Sovereigns Eurozone Yield Plus UCITS ETF,LU0524480265,db X-trackers,Swap-based,Accumulating,43.539841683,23.447648332,0.8568958842486276,0.0056418701213077444,764.3374230274001,21.3660909090909
Deka Deutsche Börse EUROGOV® Germany 5-10 UCITS ETF,DE000ETFL201,Deka,Full Replication,Distributing,42.99745762,68.62956227,-0.3734848919647641,0.005571588275507924,335.45514603,5.05545454545455
Lyxor ETF EURO Cash EONIA,FR0010510800,Lyxor ETF,Swap-based,Accumulating,40.284565487,27.931435257,0.4422662178415675,0.005220053118836015,677.2834542,2.2425
ETFX DAX 2x Short Fund (ShortDAX x2),DE000A0X9AA8,ETF Securities,Swap-based,Accumulating,38.750965941,32.904246657,0.17768889666270993,0.005021330084434013,84.26415039,24.7621818181818
iShares DivDAX (DE),DE0002635273,iShares,Full Replication,Distributing,38.732645339,40.723180648,-0.048879662082528474,0.0050189561103212744,359.02,17.5282272727273
iShares EURO STOXX (DE),DE000A0D8Q07,iShares,Full Replication,Distributing,37.376852461000006,36.680507797,0.01898405190718111,0.004843273171812644,611.8275,15.5436818181818
iShares eb.rexx Government Germany (DE),DE0006289465,iShares,Full Replication,Distributing,37.243143288999995,50.822628291,-0.2671936784584742,0.00482594720659798,505.45040000000006,3.94795454545454
Lyxor ETF DAX,LU0252633754,Lyxor ETF,Swap-based,Accumulating,35.044045153,163.810992334,-0.7860702468516432,0.004540989209790053,558.610695,6.47963636363636
iShares Euro Corporate Bond Large Cap UCITS ETF,DE0002511243,iShares,Optimised,Distributing,35.029467344,94.268390644,-0.6284070715040944,0.004539100224854599,2994.24677978,6.14381818181818
db x-trackers Euro Stoxx 50® Short Daily UCITS ETF,LU0292106753,db X-trackers,Swap-based,Accumulating,34.890643653,42.51121078,-0.17926017601421051,0.004521111522918451,148.1887793576,11.998
iShares Euro Covered Bond UCITS ETF,DE000A0RFEE5,iShares,Full Replication,Distributing,33.539489712,29.874001495,0.12269826717433507,0.004346029695462209,806.71685781,10.2783636363636
iShares STOXX Europe 600 Banks (DE),DE000A0F5UJ7,iShares,Full Replication,Distributing,32.67182273,37.498278325,-0.12871139184494806,0.004233597857592151,328.986,23.5171818181818
db x-trackers ShortDAX® x2 Daily UCITS ETF,LU0411075020,db X-trackers,Swap-based,Accumulating,32.37823739,32.580864164,-0.0062191958132248315,0.004195555221381862,74.410255,24.5598181818182
iShares MSCI Europe UCITS ETF (Inc),DE000A0M5X28,iShares,Optimised,Distributing,32.123303154,15.99563466,1.008254366694819,0.004162520975197443,1964.59729375,17.1305454545455
db x-trackers II iBoxx Sovereigns Eurozone 5-7 UCITS ETF,LU0290357176,db X-trackers,Swap-based,Accumulating,32.004716259,10.387027482999999,2.081219945877754,0.0041471545467995094,178.6423554239,14.2582727272727
iShares J.P. Morgan $ Emerging Markets Bond UCITS ETF,DE000A0RFFT0,iShares,Optimised,Distributing,31.792757654,8.151497968000001,2.9002349971511387,0.0041196890606084915,1563.41635228,24.4692272727273
iShares Nasdaq-100 (DE),DE000A0F5UF5,iShares,Full Replication,Distributing,30.064005714,37.658647898999995,-0.20167060180622332,0.0038956782801272435,487.9941,10.2449545454545
"iShares eb.rexx Government Germany 10,5+ (DE)",DE000A0D8Q31,iShares,Full Replication,Distributing,29.544113295000002,12.79004958,1.3099295362543857,0.0038283108899009317,41.5912,7.67063636363636
iShares MSCI Japan UCITS ETF (Inc),DE000A0DPMW9,iShares,Optimised,Distributing,28.311735084,21.26609547,0.3313085669129652,0.0036686199599840607,1825.89202617,19.3370909090909
ComStage ETF FR DAX,LU0488317024,ComStage ETF,Full Replication,Distributing,28.000846585999998,13.793331276,1.0300278464797454,0.0036283351895272753,29.63907198,13.832
ETFX DAX 2x Long Fund (LevDAX x2),DE000A0X8994,ETF Securities,Swap-based,Accumulating,27.1039271,30.012191246,-0.09690275935408788,0.003512112827348639,19.9253142,28.0028636363636
Lyxor ETF MSCI India,FR0010361683,Lyxor ETF,Swap-based,Accumulating,25.424888994,17.607348782000003,0.44399303431711834,0.0032945439397135423,739.5988859,35.972
iShares Euro Corporate Bond UCITS ETF,DE000A0RM454,iShares,Optimised,Distributing,25.305661327,38.400518147,-0.3410072950024249,0.003279094480411921,2298.77332625,8.98609090909091
STOXX Europe 600 Source ETF,IE00B60SWW18,Source Markets,Swap-based,Accumulating,25.07406259,17.470776760000003,0.4352002165930027,0.003249084036094594,429.23269751,24.1819090909091
iShares STOXX  Europe 50 (DE),DE0005933949,iShares,Full Replication,Distributing,24.846395675,24.095402441,0.031167490804060227,0.0032195830752344097,330.986,15.441
"iShares eb.rexx Government Germany 2,5-5,5 (DE)",DE0006289481,iShares,Full Replication,Distributing,24.358253353,41.32792247,-0.4106102630568548,0.003156329846123269,370.1376,4.55977272727273
"iShares eb.rexx Government Germany 1,5-2,5 (DE)",DE0006289473,iShares,Full Replication,Distributing,24.316540063999998,32.650864998,-0.2552558694696302,0.0031509246597520362,893.6796,2.90859090909091
iShares Euro High Yield Corporate Bond UCITS ETF,DE000A1C8QT0,iShares,Optimised,Distributing,24.159654332,44.012739311,-0.45107587688908435,0.003130595487903534,1883.76870898,14.2149545454545
db x-trackers II iBoxx Sovereigns Eurozone 1-3 UCITS ETF,LU0290356871,db X-trackers,Swap-based,Accumulating,24.134908324999998,6.571068435,2.672904728316073,0.003127388913140781,430.633852749,8.05563636363636
iShares STOXX Global Select Dividend 100 (DE),DE000A0F5UH1,iShares,Full Replication,Distributing,23.368858420000002,29.81287516,-0.2161487848929764,0.0030281245634466106,308.529,31.4061818181818
Deka Deutsche Börse EUROGOV® Germany 1-3 UCITS ETF,DE000ETFL185,Deka,Full Replication,Distributing,23.11639614,14.80168411,0.5617409457064815,0.002995410632039612,172.774495,2.851
db x-trackers MSCI USA Index UCITS ETF,LU0274210672,db X-trackers,Swap-based,Accumulating,22.575154118,30.257951012,-0.25391001826108706,0.0029252767713207235,1591.9433945431304,8.17772727272727
db x-trackers II iBoxx Sovereigns Eurozone UCITS ETF,LU0290355717,db X-trackers,Swap-based,Accumulating,22.272092118,18.914919275,0.1774880872707294,0.0028860061544187937,626.9374713609001,17.5907272727273
SPDR MSCI EMU UCITS ETF,IE00B910VR50,SPDR,Full Replication,Accumulating,22.24865027,24.127300440000003,-0.07786408490547247,0.0028829685719033962,245.622,26.4627727272727
db x-trackers S&P 500 Euro Hedged Index UCITS ETF,LU0490619193,db X-trackers,Swap-based,Accumulating,22.179120895,15.487716844000001,0.4320458669537386,0.002873958991523621,207.02201681924998,15.0085909090909
iShares S&P 500 EUR Hedged UCITS ETF,DE000A1H53N5,iShares,Optimised,Accumulating,21.937797313,36.245739235,-0.39474824417938237,0.0028426884068309725,656.91598807,7.95495454545454
db x-trackers MSCI Japan EUR Hedged Index UCITS ETF,LU0659580079,db X-trackers,Swap-based,Accumulating,21.760247447,19.45061746,0.11874327340762991,0.0028196815872076775,267.660129,25.3088636363636
AMUNDI ETF EURO STOXX 50 UCITS ETF,FR0010654913,Amundi ETF,Swap-based,Accumulating,21.19073281,7.644219925,1.772124954267325,0.002745884175689016,757.7066818280001,5.94409090909091
iShares Pfandbriefe (DE),DE0002635265,iShares,Optimised,Distributing,20.84811205,38.084811753,-0.4525872364760274,0.002701487555167116,1086.59282508,7.61809090909091
iShares MSCI Japan - B UCITS ETF (Acc),IE00B53QDK08,iShares,Full Replication,Accumulating,19.95254625,1.59743993,11.490326475061883,0.002585440602918829,686.6513726333184,27.4431363636364
db x-trackers S&P 500 UCITS ETF,LU0490618542,db X-trackers,Swap-based,Accumulating,19.412855415,32.137573337,-0.3959452006088471,0.002515507744207517,786.057787172808,6.74231818181818
iShares Euro Corporate Bond ex-Financials 1-5yr UCITS ETF,DE000A0YEEY2,iShares,Full Replication,Distributing,19.293712486,31.45001779,-0.38652777194502186,0.0025000692652120218,629.96334913,7.80386363636364
SPDR S&P US Dividend Aristocrats UCITS ETF,IE00B6YX5D40,SPDR,Full Replication,Distributing,19.18978275,44.30223083,-0.5668438724082193,0.0024866021038814205,1030.7879999999998,19.7123636363636
db x-trackers MSCI Brazil Index UCITS ETF,LU0292109344,db X-trackers,Swap-based,Accumulating,19.128360307,14.730502303,0.29855451725528304,0.0024786430155488894,150.5588555930398,42.0011363636364
iShares Euro Corporate Bond ex-Financials UCITS ETF,DE000A0YEEX4,iShares,Full Replication,Distributing,19.122839458,27.094628252,-0.29422026830766934,0.00247792762679658,1780.29161748,10.5023636363636
Lyxor ETF Turkey (DJ Turkey Titans 20),FR0010326256,Lyxor ETF,Swap-based,Distributing,18.823057158,25.364382191,-0.2578941203354461,0.0024390819917209866,176.8499052,37.7086818181818
db x-trackers S&P 500 Inverse Daily UCITS ETF,LU0322251520,db X-trackers,Swap-based,Accumulating,18.801415439,7.391644265,1.5436039350576078,0.0024362776689885153,188.50821540141465,10.9758636363636
db x-trackers II iBoxx Global Inflation-linked UCITS ETF,LU0290357929,db X-trackers,Swap-based,Accumulating,18.696438226,28.180207024999998,-0.33654006837446204,0.002422674776131096,659.1737617965,29.7602272727273
iShares $ Corporate Bond UCITS ETF,DE000A0DPYY0,iShares,Optimised,Distributing,18.482621723,4.41944892,3.1821100452949693,0.0023949685444800695,961.99276577,19.5809545454545
UBS-ETF MSCI USA,LU0136234654,UBS-ETF,Full Replication,Distributing,18.376185653,5.94050179,2.093372631236931,0.0023811766136886243,1009.7701477508203,11.5284090909091
iShares China Large Cap UCITS ETF,DE000A0DPMY5,iShares,Full Replication,Distributing,18.189312229,11.585208577,0.5700461591266524,0.0023569616522515057,692.13378759,30.6171363636364
