European ETF Statistics ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Februar 2009,,,,,
,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,
,,02/2009,01/2009,Change (%),Market Share
db x-trackers CAC 40 Short ETF,LU0322251280,4.91267713,0,,0
db x-trackers Currency Carry ETF,LU0328474126,0.08059825,0.024578,2.279284319309952,3.733003853749637e-06
db x-trackers Currency Momentum ETF,LU0328474043,0.262313011,2.38490413,-0.8900110877832226,1.214933923443339e-05
db x-trackers Currency Returns ETF,LU0328474472,0.03776282,0.25686164,-0.8529838087150732,1.7490299428145633e-06
db x-trackers Currency Valuation ETF,LU0328473748,0.0089235,0.0124382,-0.2825730411152739,4.133025206990832e-07
db x-trackers DAX ETF,LU0274211480,240.97604454100002,239.473303748,0.006275191303082961,0.011161092243726101
db x-trackers DBLCI - OY Balanced ETF,LU0292106167,12.972325227,13.967947532,-0.07127906964993025,0.000600828678842092
db x-trackers DJ EURO STOXX 50 ETF,LU0274211217,153.66943961,260.676850275,-0.4104983260006132,0.007117382948980619
db x-trackers DJ EURO STOXX 50 Short ETF,LU0292106753,471.615858681,356.896775048,0.3214349124269087,0.021843449677202885
"db x-trackers DJ EURO STOXX ETF Anteilsklasse ""1C""",LU0380865021,20.8409486,30.047503539999997,-0.30639999518575634,0.0009652733333490257
db x-trackers DJ EURO STOXX Select Dividend 30 ETF,LU0292095535,0.70527978,3.04508236,-0.7683872892029101,3.266587223310303e-05
db x-trackers DJ Islamic Market Titans 100 ETF,LU0328475529,0.00023219999999999998,0.15965823,-0.9985456434034125,1.0754619298069942e-08
db x-trackers DJ STOXX 600 Banks ETF,LU0292103651,9.60896209,18.956134885,-0.4930948662111717,0.00044505051303848615
db x-trackers DJ STOXX 600 Banks Short ETF,LU0322249037,26.610458511999997,13.341595657,0.9945484180550892,0.0012324950501448955
db x-trackers DJ STOXX 600 Basic Resources ETF,LU0292100806,2.254456396,27.339432449,-0.917538288323814,0.00010441783059034803
db x-trackers DJ STOXX 600 ETF,LU0328475792,0.30421403999999996,0,,0
db x-trackers DJ STOXX 600 Food & Beverage ETF,LU0292105359,1.2365691699999999,8.94039074,-0.8616873461170446,5.72731725197258e-05
db x-trackers DJ STOXX 600 Health Care ETF,LU0292103222,3.4795514169999997,15.67743792,-0.7780535675053721,0.00016115956424588634
db x-trackers DJ STOXX 600 Health Care Short ETF,LU0322249466,1.04534858,0.0242383,42.12796607022769,4.841656335778644e-05
db x-trackers DJ STOXX 600 Industrial Goods ETF,LU0292106084,0.15520495,4.51161222,-0.9655987832216661,7.188501939819038e-06
db x-trackers DJ STOXX 600 Insurance ETF,LU0292105193,1.46535245,2.97072122,-0.5067351186860947,6.78695423653922e-05
db x-trackers DJ STOXX 600 Oil & Gas ETF,LU0292101796,3.500488065,7.7498674670000005,-0.5483163963892855,0.00016212927001082046
db x-trackers DJ STOXX 600 Oil & Gas Short ETF,LU0322249623,5.373649028,8.370172179999999,-0.3580001805888776,0.00024888694891293534
db x-trackers DJ STOXX 600 Technology ETF,LU0292104469,0.10987373,3.25734398,-0.9662689201157073,5.088932545258081e-06
db x-trackers DJ STOXX 600 Technology Short ETF,LU0322250043,9.360502539999999,3.18920446,1.9350587763821196,0.00043354281333469726
db x-trackers DJ STOXX 600 Telecommunications ETF,LU0292104030,0.73009205,6.89005991,-0.8940369083089729,3.3815082042624655e-05
db x-trackers DJ STOXX 600 Telecommunications Short ETF,LU0322250126,0.38428038,0.19647125599999998,0.9559114540398723,1.7798403060368865e-05
db x-trackers DJ STOXX 600 Utilities ETF,LU0292104899,0.654983483,9.941156416,-0.9341139545952799,3.0336339389271602e-05
db x-trackers DJ STOXX Global Select Dividend 100 ETF,LU0292096186,1.1272571599999999,0.620115686,0.8178175225194995,5.22102567046663e-05
db x-trackers FTSE 100 ETF,LU0292097234,2.248174267,11.37238072,-0.8023127854798023,0.00010412686631051872
db x-trackers FTSE 100 Short ETF,LU0328473581,2.2938186660000004,3.3515034700000004,-0.3155851734803664,0.00010624094096312083
db x-trackers FTSE 250 ETF,LU0292097317,0.1068,0.03951,1.703113135914958,4.946569082833204e-06
db x-trackers FTSE All-Share ETF,LU0292097747,0.009726700000000001,0.0029325,2.3168627450980392,4.505036844381435e-07
db x-trackers FTSE Vietnam ETF,LU0322252924,2.201308992,2.700225521,-0.18476846660394186,0.00010195624533323898
