XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Turnover Report: July 2016,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Product Family,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,,07/2016,06/2016,Change (%),Market Share,in MEUR,100000
iShares Core DAX UCITS ETF (DE),DE0005933931,iShares,Full Replication,Accumulating,1516.594951333,1882.5282017539998,-0.1943839407452438,0.12041940280476783,8216.492,3.034666666666667
db x-trackers DAX UCITS ETF (DR) 1C ,LU0274211480,db X-trackers,Full Replication,Accumulating,716.683646722,856.702778385,-0.16343956760237766,0.05690551499090209,3976.2532552448,3.406238095238096
iShares EURO STOXX 50 UCITS ETF (DE),DE0005933956,iShares,Full Replication,Distributing,585.8962138320001,942.762712373,-0.3785326825694473,0.046520840724948824,6176.715,5.735809523809524
iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,iShares,Full Replication,Distributing,352.846225231,825.836572918,-0.5727408584191691,0.02801640061302312,4864.1845,6.997428571428571
iShares EURO STOXX 50 UCITS ETF (Dist),IE0008471009,iShares,Full Replication,Distributing,329.545760023,599.7863922280001,-0.45056145939081593,0.026166316579079533,5075.36902377,7.133809523809524
Deka DAX UCITS ETF,DE000ETFL011,Deka ETFs,Full Replication,Accumulating,268.507936903,605.482623534,-0.556538988128497,0.02131984244163558,1459.92672702,4.271285714285715
iShares EURO STOXX Banks 30-15 UCITS ETF (DE) ,DE0006289309,iShares,Full Replication,Distributing,259.505384366,397.81122145300003,-0.34766700793868976,0.020605029301006807,758.38815,14.19095238095238
db x-trackers EURO STOXX 50 UCITS ETF (DR) 1D ,LU0274211217,db X-trackers,Full Replication,Distributing,182.63053643700002,270.413731247,-0.3246255077550684,0.014501076976636378,2290.5692964219998,7.542666666666667
db x-trackers EURO STOXX 50 UCITS ETF (DR) 1C ,LU0380865021,db X-trackers,Full Replication,Accumulating,181.082804814,337.72732036900004,-0.46381949610665374,0.01437818528589199,2516.8815250591997,6.855619047619047
iShares MSCI Europe UCITS ETF (Dist),IE00B1YZSC51,iShares,Optimised,Distributing,177.57428906,94.6005832,0.8770950775703041,0.014099605054923628,5178.034406180001,9.742904761904763
db x-trackers ShortDAX Daily UCITS ETF 1C ,LU0292106241,db X-trackers,Swap-based,Accumulating,177.50432738100002,368.61942166,-0.518461814676919,0.01409405001625164,337.7546573553,6.601904761904763
Lyxor UCITS ETF LevDAX ,LU0252634307,Lyxor ETF,Swap-based,Accumulating,165.681362765,91.282807548,0.8150335995951745,0.013155292876654635,298.4488575,7.738476190476191
SPDR S&P Euro Dividend Aristocrats UCITS ETF,IE00B5M1WJ87,SPDR,Full Replication,Distributing,143.487021956,84.46477006,0.6987795249317938,0.011393036406318783,867.1808155800001,12.68266666666667
ComStage DAX TR UCITS ETF,LU0378438732,ComStage,Swap-based,Accumulating,131.91786055400001,258.11220590700003,-0.48891273820064474,0.010474431537064597,744.2235522000001,6.557428571428572
iShares MDAX UCITS ETF (DE) ,DE0005933923,iShares,Full Replication,Accumulating,131.301682297,216.085982665,-0.3923637217109165,0.010425506266896707,1659.0615,4.949904761904762
Source EURO STOXX Optimised Banks UCITS ETF ,IE00B3Q19T94,Source Markets,Swap-based,Accumulating,129.04767055,134.370492,-0.03961302344565365,0.010246535112963941,298.10028129,13.67885714285714
db x-trackers MSCI Emerging Markets Index UCITS ETF 1C ,LU0292107645,db X-trackers,Swap-based,Accumulating,129.006197042,140.05878098300002,-0.0789138950334114,0.010243242068198634,1575.0483453550871,9.608190476190478
Deka EURO STOXX 50 UCITS ETF,DE000ETFL029,Deka ETFs,Full Replication,Distributing,122.09670740700001,251.77495648500002,-0.5150561870347333,0.009694620556040019,1012.26174426,8.90152380952381
iShares MSCI Emerging Markets UCITS ETF (Dist),IE00B0M63177,iShares,Optimised,Distributing,117.322067402,176.18246804499998,-0.33408772902401407,0.009315508587149118,4153.11632821,11.20895238095238
iShares EURO STOXX UCITS ETF (DE),DE000A0D8Q07,iShares,Full Replication,Distributing,104.678045818,206.237957636,-0.492440445891383,0.008311558569474584,1148.3505,12.51595238095238
