XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Turnover Report: March 2019,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Product Family,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,,03-2019,02-2019,Change (%),Market Share,in MEUR,100000
iShares Core DAX UCITS ETF (DE),DE0005933931,iShares,Full Replication,Accumulating,1485.66125471,1036.5552563400001,0.4332677834809888,0.13763070923143175,6991.24513059,2.663
iShares EURO STOXX 50 UCITS ETF (DE),DE0005933956,iShares,Full Replication,Distributing,343.84510236,170.63085691,1.0151402189895968,0.03185359055001982,6931.91061505,4.241047619047619
iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,iShares,Full Replication,Distributing,261.59477344,234.90440522,0.11362225495517242,0.024233972640560486,5757.78885772,3.926047619047619
iShares Core MSCI World UCITS ETF USD (Acc),IE00B4L5Y983,iShares,Optimised,Accumulating,186.26015145,134.65751244999998,0.38321396304688693,0.01725502140164606,15173.133902803738,4.194
iShares Core S&P 500 UCITS ETF,IE00B5BMR087,iShares,Full Replication,Accumulating,170.63428271,84.98391520999999,1.007842099159037,0.015807450907211074,27748.125760400537,3.155
Xtrackers Euro Stoxx 50 UCITS ETF 1C,LU0380865021,Xtrackers,Full Replication,Accumulating,149.69540208,79.93941059999999,0.8726107805453351,0.01386768638654198,2761.4800963648,4.470666666666666
iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),IE0008471009,iShares,Full Replication,Distributing,130.2102663,111.83389909,0.16431839862089892,0.012062595859768013,3945.4119911999996,5.235095238095238
iShares EURO STOXX Banks 30-15 UCITS ETF (DE),DE0006289309,iShares,Full Replication,Distributing,129.96800048,120.97273625,0.0743577810078675,0.012040152509022056,1270.17888896,8.665142857142857
iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),IE00B8FHGS14,iShares,Optimised,Accumulating,128.39737965999998,61.83848097,1.0763346325128849,0.011894651199955171,2859.265709336894,12.08195238095238
Xtrackers DAX UCITS ETF 1C,LU0274211480,Xtrackers,Full Replication,Accumulating,121.54576804000001,106.3253119,0.1431498847077448,0.011259922277968855,3636.3875644976,3.365428571428572
Deka DAX UCITS ETF,DE000ETFL011,Deka ETF,Full Replication,Accumulating,111.57535722,93.67116874,0.19113873266272652,0.010336269791148633,1741.1601904200002,3.899333333333333
Deka EURO STOXX 50 UCITS ETF,DE000ETFL029,Deka ETF,Full Replication,Distributing,104.08005065,57.47103032,0.8110002564853966,0.009641909380344574,1094.30344117,7.465428571428571
Xtrackers MSCI EMU UCITS ETF 1D,LU0846194776,Xtrackers,Full Replication,Distributing,95.67024097,76.48162564,0.25089183407686777,0.008862829985839066,1990.1719971547,4.483380952380952
iShares EURO STOXX UCITS ETF (DE),DE000A0D8Q07,iShares,Full Replication,Distributing,93.11929434000001,76.73620891,0.21349875974736898,0.008626511920206425,1405.69538493,4.801857142857143
iShares Core MSCI Emerging Markets IMI UCITS ETF,IE00BKM4GZ66,iShares,Optimised,Accumulating,90.46798301999999,68.87244862,0.3135583942884357,0.008380896133829769,12031.653990627505,4.78247619047619
iShares Core S&P 500 UCITS ETF USD (Dist),IE0031442068,iShares,Full Replication,Distributing,90.34669799,73.61903559999999,0.22721925455377745,0.008369660366157203,7718.147625420561,3.292523809523809
Xtrackers Euro Stoxx 50 UCITS ETF 1D,LU0274211217,Xtrackers,Full Replication,Distributing,80.26985212000001,56.10996064,0.4305811518031393,0.007436147804321807,2836.8693762059997,4.785571428571428
iShares TecDAX UCITS ETF (DE),DE0005933972,iShares,Full Replication,Accumulating,70.95840369,86.21039966,-0.17691596408497612,0.00657354117220434,827.0665952300001,7.50047619047619
iShares STOXX Europe 600 Banks UCITS ETF (DE),DE000A0F5UJ7,iShares,Full Replication,Distributing,65.71055462,73.316619,-0.1037427050475419,0.006087383787973036,490.34849534,7.415619047619047
iShares MDAX UCITS ETF (DE),DE0005933923,iShares,Full Replication,Accumulating,64.8749674,60.81690102,0.0667259645253131,0.006009975521890356,1595.8269101300002,6.927857142857143
iShares J.P. Morgan USD EM Bond UCITS ETF (Dist),IE00B2NPKV68,iShares,Optimised,Distributing,61.29765263,35.04036824,0.749343848505172,0.005678575367663892,7017.636937454384,11.07252380952381
Xtrackers II Eurozone Government Bond UCITS ETF 1C,LU0290355717,Xtrackers,Optimised,Accumulating,59.714338600000005,42.175094560000005,0.41586733172697365,0.005531898167734146,2723.2151344125,6.775285714285714
Xtrackers Stoxx Europe 600 UCITS ETF 1C,LU0328475792,Xtrackers,Optimised,Accumulating,58.97725937,51.41180425,0.1471540481872895,0.005463615618893993,1295.5403236248,5.237761904761904
iShares MSCI World Quality Factor UCITS ETF,IE00BP3QZ601,iShares,Optimised,Accumulating,56.295072729999994,37.56350541,0.49866398557716485,0.005215139562603268,1283.886726479751,13.72085714285714
iShares Core Euro Corp Bond UCITS ETF (Dist),IE00B3F81R35,iShares,Optimised,Distributing,56.23055299,46.7491751,0.20281380087923728,0.005209162495120707,9616.049895049999,5.308142857142857
SPDR S&P Euro Dividend Aristocrats UCITS ETF,IE00B5M1WJ87,SPDR,Full Replication,Distributing,55.671558850000004,35.58340078,0.5645373300376268,0.005157377635213708,1429.84,7.713619047619049
iShares Euro High Yield Corp Bond UCITS ETF (Dist),IE00B66F4759,iShares,Optimised,Distributing,53.94806655,42.74909176,0.261969888222954,0.004997714409931432,6151.944617409999,7.395761904761905
iShares Core EURO STOXX 50 UCITS ETF,IE00B53L3W79,iShares,Full Replication,Accumulating,53.46599396,39.24993239,0.3621932753601873,0.004953055513260075,3427.33742385,6.211619047619048
iShares Automation & Robotics UCITS ETF,IE00BYZK4552,iShares,Optimised,Accumulating,53.35784801,53.09377052000001,0.004973794240145546,0.00494303694156224,1870.8565042723633,14.02014285714286
iShares MSCI World Momentum Factor UCITS ETF,IE00BP3QZ825,iShares,Optimised,Accumulating,53.29478611,35.8769111,0.48548981715429784,0.004937194927445653,956.7123311793503,13.74333333333333
iShares Euro Corp Bond ex-Financials 1-5yr UCITS ETF (Dist),IE00B4L5ZY03,iShares,Optimised,Distributing,53.14850353,40.41741715,0.3149901027260471,0.004923643402715655,1791.41339234,5.822904761904762
Xtrackers ShortDAX Daily Swap UCITS ETF 1C,LU0292106241,Xtrackers,Swap-based,Accumulating,52.91709847,46.31119104,0.14264170887538463,0.0049022061858355805,476.4895065696,4.550476190476191
iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE),DE000A0Q4R28,iShares,Full Replication,Distributing,52.09163874,75.91144729999999,-0.3137841446477071,0.004825736123954575,360.81931872,8.202809523809524
iShares Core MSCI Pacific ex Japan UCITS ETF,IE00B52MJY50,iShares,Full Replication,Accumulating,50.460300759999996,9.33090882,4.407865593096643,0.0046746100159863095,1557.1669469247888,16.48071428571429
