XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Turnover Report: January 2010,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Replication,"Income 
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,01/2010,12/2009,Change (%),Market Share,in MEUR,100.000€
iShares $ Treasury Bond 7-10,DE000A0LGQB6,Full Replication,Distributing,2.076459336,5.4306009699999995,-0.6176372840739208,0.00015907319819840032,130.7232,18.99595
iShares € Corporate Bond,DE0002511243,Full Replication,Distributing,130.40440544,61.473546593,1.1213092893984609,0.009990008218731462,3255.8409,7.5001
iShares € Covered Bond,DE000A0RFEE5,Full Replication,Distributing,0.24801356,0.26571554,-0.06662004036346536,1.8999799081917032e-05,44.1024,35.47255
iShares € Government Bond 1-3,DE000A0J21A7,Full Replication,Distributing,13.98884745,25.703504197999997,-0.45576107669052845,0.0010716562874126213,482.3808,5.07795
iShares € Government Bond 15-30,DE000A0LGQC4,Full Replication,Distributing,4.22661965,1.38604937,2.0494005058420104,0.00032379247386990647,167.4694,21.0702
iShares € Government Bond 3-5,DE000A0LGQD2,Full Replication,Distributing,12.82899359,12.95602848,-0.009805079557836938,0.0009828023138460714,432.8024,6.133
iShares € Government Bond 7-10,DE000A0LGQH3,Full Replication,Distributing,8.24787547,21.74377868,-0.6206788345584835,0.0006318524550942779,430.7256,7.948
iShares € Inflation Linked Bond,DE000A0HG2S8,Full Replication,Capitalizing,17.164663278,29.727932216,-0.42260823412528736,0.0013149488825964168,642.6056,22.518
iShares ATX (DE),DE000A0D8Q23,Full Replication,Distributing,14.861315627,16.077426106,-0.07564086881706489,0.0011384942460644241,50.75995535,21.5803
iShares Barclays Euro Aggregate Bond ETF,DE000A0RM447,Full Replication,Distributing,0.5872772,0.39444832,0.48885714610218156,4.499007556437965e-05,79.83321216,38.99
iShares Barclays Euro Corporate Bond 1-5,DE000A0YEEZ9,Full Replication,Distributing,1.61450803,0.14019238,10.516375069743448,0.00012368407673411759,40.674816,38.18635
iShares Barclays Euro Corporate Bond ETF,DE000A0RM454,Full Replication,Distributing,13.23461266,2.8208321400000003,3.6917405939652967,0.0010138759407630595,642.2293562000001,21.96055
iShares Barclays Euro Corporate Bond ex-Financials,DE000A0YEEX4,Full Replication,Distributing,5.39687622,0.05741161,93.00322025457918,0.00041344337724911437,20.472,31.4524
iShares Barclays Euro Corporate Bond ex-Financials 1-5,DE000A0YEEY2,Full Replication,Distributing,0.97157765,0.28290022,2.4343474529641584,7.44305276795394e-05,16.81276701,25.2669
iShares Barclays Euro Government Bond 10-15,DE000A0YBRX2,Full Replication,Distributing,0,0.01000692,-1,0,12.893,23.111
iShares Barclays Euro Government Bond 5-7,DE000A0YBRY0,Full Replication,Distributing,0.0146924,0,,1.1255539738680329e-06,20.4368,12.7032
iShares Barclays Euro Treasury Bond,DE000A0YBRZ7,Full Replication,Distributing,0,1.7149973600000001,-1,0,7.147491000000001,11.9093
iShares Barclays Euro Treasury Bond 0-1 ETF,DE000A0RM462,Full Replication,Distributing,0.0972977,0.68140725,-0.8572106475239294,7.4537728950491204e-06,26.102590740000004,13.85595
iShares Citigroup Global Government Bond ETF ,DE000A0RM439,Full Replication,Distributing,13.8841479,1.3202404099999998,9.51637852836212,0.0010636354743007613,98.41457079999999,26.40225
iShares DAX (DE),DE0005933931,Full Replication,Capitalizing,1484.37736547,1000.229714863,0.4840364602378495,0.11371503923283602,2656.54770931,4.1161
iShares DivDAX (DE),DE0002635273,Full Replication,Distributing,32.307337536,14.332999995,1.254052713826154,0.002474997423752461,449.26304554999996,19.52415
iShares DJ Asia Pacific Select Dividend 30 (DE),DE000A0H0744,Full Replication,Distributing,4.146017621,6.779087496000001,-0.3884106639062621,0.00031761772134188,57.63299315,77.56255
iShares DJ Asia/Pacific Select Dividend,DE000A0J2086,Full Replication,Distributing,1.396322008,1.01551445,0.37498979753562356,0.00010696930283029262,104.253,37.0712
iShares DJ China Offshore 50 (DE),DE000A0F5UE8,Full Replication,Distributing,18.033350905,11.741052400000001,0.5359228705086094,0.0013814972212354303,47.565109199999995,34.41285
iShares DJ EURO STOXX (DE),DE000A0D8Q07,Full Replication,Distributing,28.573322416,23.305350889,0.22604128777509436,0.0021889423505990404,456.79828557999997,20.48345
iShares DJ EURO STOXX 50,IE0008471009,Full Replication,Distributing,358.887701755,244.480253593,0.467961917089879,0.02749363472834293,4004.539,7.2395
iShares DJ EURO STOXX 50 (DE),DE0005933956,Full Replication,Distributing,949.689224126,580.8829954839999,0.6349062229558045,0.07275370124381778,4052.9335872,7.1129
iShares DJ EURO STOXX Banks (DE),DE0006289309,Full Replication,Distributing,43.225440442,22.912507288,0.886543445406279,0.0033114104068558627,130.16611674,16.24035
iShares DJ EURO STOXX Growth,DE000A0HG3L1,Full Replication,Distributing,1.13725783,0.7437519100000001,0.5290822311972281,8.712293906162613e-05,28.71,19.0808
iShares DJ EURO STOXX Health Care (DE),DE0006289333,Full Replication,Distributing,2.105749408,1.04197896,1.0209135585616815,0.00016131704923257314,6.015425,19.26455
iShares DJ EURO STOXX MidCap,DE000A0DPMX7,Full Replication,Distributing,0.655518418,0.16464110999999998,2.9814990192911117,5.021789226563299e-05,131.92,28.5491
iShares DJ EURO STOXX Select Dividend,DE000A0HG2P4,Full Replication,Distributing,2.01677926,2.97737504,-0.32263177029924994,0.00015450123264460744,376.533,22.2987
iShares DJ EURO STOXX Select Dividend 30 (DE),DE0002635281,Full Replication,Distributing,30.267139655,18.925367792,0.5992893764418314,0.002318702139630283,351.51816096,20.1587
iShares DJ EURO STOXX SmallCap ,DE000A0DPMZ2,Full Replication,Distributing,5.570789445,7.6228342300000005,-0.26919708904649764,0.00042676650495506813,362.8065,21.88625
iShares DJ EURO STOXX Sustainability 40 (DE),DE000A0F5UG3,Full Replication,Distributing,8.32059214,3.22781317,1.5777799710755875,0.0006374231267942691,59.22853800000001,22.11845
iShares DJ EURO STOXX Technology (DE),DE0006289325,Full Replication,Distributing,0.64759344,1.23064704,-0.47377808668844645,4.9610776309035245e-05,12.26805189,26.1667
iShares DJ EURO STOXX Telecommunications (DE),DE0006289317,Full Replication,Distributing,1.398709324,2.505812353,-0.4418140199822058,0.0001071521901060732,28.70565798,21.65575
iShares DJ EURO STOXX Value,DE000A0HG2N9,Full Replication,Distributing,1.43059426,0.7283916970000001,0.9640452601150391,0.00010959482823335859,59.164,17.8802
iShares DJ Global Titans 50 (DE),DE0006289382,Full Replication,Distributing,6.431119835,6.00154994,0.0715764926218374,0.0004926746131813575,66.591801,37.8127
iShares DJ Industrial Average (DE),DE0006289390,Full Replication,Distributing,29.512612054,18.003249371,0.6392936322672682,0.002260899361343641,160.39775541999998,13.22955
iShares DJ STOXX 50,IE0008470928,Full Replication,Distributing,68.33680965,52.90781023700001,0.291620449681927,0.005235139777233185,782.039,13.29585
iShares DJ STOXX 50 (DE),DE0005933949,Full Replication,Distributing,39.836278301,22.793322934,0.7477170141602136,0.0030517737977323947,423.9965076,17.74765
iShares DJ STOXX 600 (DE),DE0002635307,Full Replication,Distributing,50.914888094,48.743782292999995,0.04454118451353306,0.0039004828770825657,890.53869276,22.93915
iShares DJ STOXX 600 Automobiles & Parts (DE),DE0006344716,Full Replication,Distributing,3.74061806,1.66486957,1.2467934590215375,0.00028656091054936783,16.138525,19.13245
iShares DJ STOXX 600 Automobiles & Parts Swap (DE),DE000A0D8Q56,Swap-based,Capitalizing,1.50675493,0.34729521999999996,3.338542091077442,0.00011542933755593025,7.234635869999999,23.07185
iShares DJ STOXX 600 Banks (DE),DE0006289341,Full Replication,Distributing,19.534056037,19.562985166,-0.001478768641622219,0.0014964630964448412,165.30181584000002,18.3631
iShares DJ STOXX 600 Banks Swap (DE),DE000A0D8Q64,Swap-based,Capitalizing,3.180365759,1.76306981,0.8038796540903845,0.00024364115586264138,20.24456837,24.30925
iShares DJ STOXX 600 Basic Resources (DE),DE0006344724,Full Replication,Distributing,58.426650699,38.253458894,0.5273560192530495,0.004475943268224316,238.05907096,15.46195
iShares DJ STOXX 600 Basic Resources Swap (DE),DE000A0D8Q72,Swap-based,Capitalizing,5.848350635,13.852408578,-0.5778098370352587,0.0004480298860497865,39.484564559999995,22.5796
iShares DJ STOXX 600 Chemicals (DE),DE0006344732,Full Replication,Distributing,7.655764799,6.76922578,0.13096608797114162,0.000586492097445853,27.19904986,14.7652
