XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Turnover Report: April 2012,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Issuer,Replication,"Income 
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,,04/2012,03/2012,Change (%),Market Share,in MEUR,"100,000€"
iShares DAX (DE),DE0005933931,iShares,Full Replication,Accumulating,1791.508179987,1952.854109293,-0.08262057495140418,0.1527770730205533,8406.74488468,5.8028947368421
db x-trackers DAX ETF,LU0274211480,db X-trackers,Swap-based,Accumulating,737.5713653150001,759.414316513,-0.028762890984589395,0.06289895608370409,6519.6955811208,4.95021052631579
ETFlab DAX,DE000ETFL011,ETFlab,Full Replication,Accumulating,500.796690797,380.379531856,0.31657107929399886,0.042707174576730046,1023.83555114,5.24247368421053
iShares EURO STOXX 50 (DE),DE0005933956,iShares,Full Replication,Distributing,401.891433315,574.8079130499999,-0.30082480739954376,0.03427268574031637,2412.122413635,7.86668421052631
db x-trackers ShortDAX ETF,LU0292106241,db X-trackers,Swap-based,Accumulating,348.135734421,283.45867939,0.228171016566451,0.029688482091712817,471.87539043059996,6.519
ComStage ETF DAX TR,LU0378438732,ComStage ETF,Swap-based,Accumulating,323.25396956699996,475.164044015,-0.31970027269825274,0.027566603303524763,674.76856975,5.18
iShares EURO STOXX 50,IE0008471009,iShares,Full Replication,Distributing,282.591429755,188.55841894,0.49869431099187156,0.024098964202873736,3259.62,8.6241052631579
db x-trackers EURO STOXX 50 Short ETF,LU0292106753,db X-trackers,Swap-based,Accumulating,264.450836803,225.637382452,0.17201695006924145,0.0225519622270949,281.187307728,7.71921052631579
Lyxor ETF DAX,LU0252633754,Lyxor ETF,Swap-based,Accumulating,262.524483823,341.698645819,-0.231707567368994,0.022387685796109835,750.955038,5.43715789473684
iShares MDAX (DE),DE0005933923,iShares,Full Replication,Accumulating,182.833675729,146.00415644100002,0.2522498001821112,0.015591775767202073,848.05428485,11.2841578947368
Lyxor ETF LevDAX,LU0252634307,Lyxor ETF,Swap-based,Accumulating,170.99990345199998,172.49433475,-0.008663654375466567,0.014582609796614684,308.712494,11.5503157894737
iShares S&P 500,DE0002643889,iShares,Full Replication,Distributing,165.963702394,97.61396100399999,0.7002045679428908,0.0141531302857872,7781.445599999999,9.86936842105263
iShares EURO STOXX Banks (DE),DE0006289309,iShares,Full Replication,Distributing,150.717393694,129.03366205,0.16804709173950005,0.012852948437010658,146.128299174,16.5733684210526
db x-trackers EURO STOXX 50 ETF,LU0274211217,db X-trackers,Swap-based,Distributing,148.015370976,85.145913885,0.7383731552392865,0.012622524079085552,934.1821309692,8.29542105263158
db x-trackers II EONIA TR Index ETF,LU0290358497,db X-trackers,Swap-based,Accumulating,129.140462936,150.171341942,-0.14004588847666188,0.011012900837563856,1077.5251957526,0.306789473684211
ComStage ETF EURO STOXX 50 NR,LU0378434079,ComStage ETF,Swap-based,Accumulating,125.65300170100001,131.474622851,-0.044279428408002475,0.010715495486191242,154.77287926,11.0127368421053
"iShares eb.rexx Government Germany 1,5-2,5 (DE)",DE0006289473,iShares,Full Replication,Distributing,117.394009294,100.04156279899999,0.17345237328872942,0.010011181266398179,1234.1622,3.32273684210526
db x-trackers EURO STOXX ETF Anteilsklasse (1C),LU0380865021,db X-trackers,Swap-based,Accumulating,115.75668082,60.138895655,0.9248221896867488,0.009871552402502762,584.1647187757,12.4973157894737
iShares STOXX Europe 600 (DE),DE0002635307,iShares,Full Replication,Distributing,113.225911652,123.817784341,-0.08554403347930617,0.009655732284963301,1380.99629102,11.9306842105263
db x-trackers MSCI Emerging Markets TRN Index ETF,LU0292107645,db X-trackers,Swap-based,Accumulating,104.021799258,219.318880516,-0.5257052242229949,0.008870819680591202,3030.6242603008272,16.4967894736842
"iShares eb.rexx Government Germany 5,5-10,5 (DE)",DE0006289499,iShares,Full Replication,Distributing,102.451963222,148.859425458,-0.3117536030601814,0.008736946468410832,715.2076,4.51957894736842
db x-trackers MSCI World TRN Index ETF,LU0274208692,db X-trackers,Swap-based,Accumulating,97.145962327,102.266863966,-0.050073908990721616,0.008284458840814055,1795.5579133577248,11.9345263157895
ETFlab DAX (Preisindex),DE000ETFL060,ETFlab,Full Replication,Distributing,76.411099132,66.948683034,0.14133834556826907,0.006516221473102631,307.28030051999997,10.8627894736842
iShares DivDAX (DE),DE0002635273,iShares,Full Replication,Distributing,75.765654053,76.055158757,-0.003806509758594756,0.00646117890557952,265.52841116999997,20.2577894736842
iShares EURO STOXX (DE),DE000A0D8Q07,iShares,Full Replication,Distributing,74.908256126,48.693163644,0.5383731620656411,0.006388061323888153,541.57458446,14.4503684210526
ETFX DAX 2x Short Fund,DE000A0X9AA8,ETF Securities,Swap-based,Accumulating,71.441006606,77.468101401,-0.07780098758070497,0.006092379596606639,80.34154650480001,17.8627368421053
ETFlab Deutsche Börse EuroGOV®  Germany 5-10,DE000ETFL201,ETFlab,Full Replication,Distributing,67.73576878,54.312449810000004,0.24714994475407548,0.005776402591184634,316.30552432,5.62078947368421
db x-trackers MSCI Europe TRN Index ETF,LU0274209237,db X-trackers,Swap-based,Accumulating,64.864082951,97.16207426899999,-0.3324135632240698,0.005531509623075271,761.80203644417,10.5762631578947
db x-trackers MSCI USA TRN Index ETF,LU0274210672,db X-trackers,Swap-based,Accumulating,64.699124122,40.850969692,0.5837842922654117,0.0055174421868530695,1479.390548960737,9.78789473684211
iShares MSCI Emerging Markets,DE000A0HGZT7,iShares,Optimised,Distributing,63.827839522,116.669066656,-0.45291548692853545,0.005443140370962478,4594.996,16.7298947368421
iShares MSCI World,DE000A0HGZR1,iShares,Optimised,Distributing,62.081731202,58.715780012,0.05732617686952435,0.005294234928449582,2978.264,12.2466315789474
ETFlab EURO STOXX 50 ,DE000ETFL029,ETFlab,Full Replication,Distributing,61.613972744,64.896443221,-0.05058012911157228,0.00525434520375161,362.93822532,13.3514210526316
ETFX DAX 2x Long Fund,DE000A0X8994,ETF Securities,Swap-based,Accumulating,56.495556990999994,63.654052101000005,-0.11245937805564388,0.004817854549686438,35.39332913410001,15.2315263157895
iShares eb.rexx Government Germany (DE),DE0006289465,iShares,Full Replication,Distributing,50.63858020799999,92.79119846600001,-0.45427388539922053,0.004318380542449379,652.721,3.97652631578947
iShares Markit iBoxx EURO Corporate Bond,DE0002511243,iShares,Optimised,Distributing,50.390551894,79.619889892,-0.3671110075340219,0.004297229067807819,3152.4498,9.87021052631579
Lyxor ETF EURO STOXX 50 Daily Double Short,FR0010424143,Lyxor ETF,Swap-based,Distributing,48.532129559,36.98193629,0.3123198628224124,0.004138745658159428,81.022683,16.029
iShares STOXX  Europe 50 (DE),DE0005933949,iShares,Full Replication,Distributing,48.328122844,45.922045895000004,0.052394811731634405,0.004121348278040034,310.415637,14.7572105263158
"iShares eb.rexx Government Germany 2,5-5,5 (DE)",DE0006289481,iShares,Full Replication,Distributing,46.987331403,60.472896979000005,-0.22300181155010723,0.004007007638027731,825.7776,4.3128947368421
Amundi ETF ex AAA Govt Bond EuroMTS,FR0010892190,Amundi ETF,Swap-based,Accumulating,44.27051487,1.60075885,26.655955092798642,0.0037753216862233697,106.44496128,40.2310526315789
db x-trackers MSCI Japan TRN Index ETF,LU0274209740,db X-trackers,Swap-based,Accumulating,43.118774249,66.359216885,-0.3502217736576895,0.00367710301051711,343.144315108526,15.8098421052632
db x-trackers MSCI EM LATAM TRN Index ETF,LU0292108619,db X-trackers,Swap-based,Accumulating,42.889152443,33.779053395000005,0.2696966946192896,0.0036575212146792435,399.918177275271,33.2826315789474
iShares MSCI Europe,DE000A0M5X28,iShares,Optimised,Distributing,42.765182259999996,28.947932222,0.477313886602895,0.0036469492273938156,1358.71,11.5158421052632
Lyxor ETF Japan (Topix),FR0010245514,Lyxor ETF,Swap-based,Distributing,42.301091704,57.998486402999994,-0.27065179925433436,0.003607372295759222,357.588765,14.2743684210526
EasyETF GSNE,LU0230484932,EasyETF,Swap-based,Accumulating,41.51256464,0.11059287,,0.003540127915755172,61.27864324,79.0966315789474
Lyxor ETF EURO STOXX 50,FR0007054358,Lyxor ETF,Swap-based,Distributing,38.787279836,71.95583582799999,-0.4609571358643463,0.0033077198027732188,3716.212885,9.78231578947369
MSCI World Source ETF,IE00B60SX394,Source Markets,Swap-based,Accumulating,38.035902920000005,7.5596245,4.031453998806423,0.0032436435304770334,94.25141816922981,18.8914210526316
ComStage ETF Dow Jones Industrial Average,LU0378437502,ComStage ETF,Swap-based,Accumulating,37.862073611,12.49163811,2.0309934756026964,0.0032288196333098997,118.85078955,25.8310526315789
ComStage ETF STOXX Europe 600 Oil & Gas NR,LU0378436447,ComStage ETF,Swap-based,Accumulating,37.465529965,24.92465665,0.5031512967702205,0.003195002998679062,52.3332872,25.8204210526316
iShares eb.rexx Money Market ,DE000A0Q4RZ9,iShares,Full Replication,Distributing,36.46231513,78.79472147499999,-0.537249266861502,0.0031094503744631846,475.8572,3.45373684210526
iShares STOXX Europe 600 Banks (DE),DE000A0F5UJ7,iShares,Full Replication,Accumulating,35.492025565,60.466578090000006,-0.4130306909021252,0.0030267055668317944,175.35382496,18.8049473684211
iShares S&P 500 Monthly EUR Hedged,DE000A1H53N5,iShares,Optimised,Accumulating,35.051247465,15.19940149,1.3060939266628981,0.002989116685730482,301.546,16.5435263157895
iShares Nasdaq-100 (DE),DE000A0F5UF5,iShares,Full Replication,Distributing,33.637344983999995,48.935352273,-0.3126166785038279,0.002868541248232202,364.884222495,11.8761578947368
db x-trackers MSCI EM Asia TRN Index ETF,LU0292107991,db X-trackers,Swap-based,Accumulating,33.300352458999996,58.011564103,-0.4259704427228518,0.002839803041968651,990.268714041921,31.6578421052632
db x-trackers MSCI AC Asia ex Japan TRN Index ETF,LU0322252171,db X-trackers,Swap-based,Accumulating,33.169490949,35.013477272,-0.05266504405361139,0.0028286433728740928,417.798939495436,26.5325263157895
iShares Barclays Capital EURO Corporate Bond ex-Financials,DE000A0YEEX4,iShares,Full Replication,Distributing,32.929291412,35.39139917,-0.06956796893430084,0.0028081595243415014,1345.00653891,15.3427894736842
iShares DJ Industrial Average (DE),DE0006289390,iShares,Full Replication,Distributing,32.08002151,24.458480022,0.31161141171260653,0.0027357350881701,170.74931484,10.5201578947368
