XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Turnover Report: June 2012,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Issuer,Replication,"Income 
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,,06/2012,05/2012,Change (%),Market Share,in MEUR,"100,000€"
iShares DAX (DE),DE0005933931,iShares,Full Replication,Accumulating,1499.780550593,1812.906021173,-0.17272018898001074,0.13249135197580605,11562.057,5.4567619048
db x-trackers ShortDAX Daily ETF,LU0292106241,db X-trackers,Swap-based,Accumulating,601.5677483940001,371.80660565799997,0.617958743173439,0.05314279096248376,519.163768035,6.6684761905
db x-trackers DAX ETF,LU0274211480,db X-trackers,Swap-based,Accumulating,542.2704663559999,584.415516332,-0.0721148716935468,0.04790443988332156,5925.045065738301,6.625
iShares EURO STOXX 50 (DE),DE0005933956,iShares,Full Replication,Distributing,355.03324981099996,440.450983184,-0.19393243887326383,0.03136381202251538,2514.161,8.7221904762
iShares EURO STOXX 50,IE0008471009,iShares,Full Replication,Distributing,309.529602749,192.04015647,0.6117962432370434,0.027343997445849123,3346.3935,8.7227142857
ComStage ETF DAX TR,LU0378438732,ComStage ETF,Swap-based,Accumulating,299.09512332099996,470.72541099,-0.364608078641937,0.02642221039771542,560.3484135599999,6.2200952381
ETFlab DAX,DE000ETFL011,ETFlab,Full Replication,Accumulating,287.700469754,423.950601038,-0.3213820925136216,0.025415601093580327,639.2678941,5.9496190476
db x-trackers EURO STOXX 50 Short Daily ETF,LU0292106753,db X-trackers,Swap-based,Accumulating,253.03182165799998,289.492801547,-0.12594779453637117,0.02235295565815556,281.35433295,9.1153333333
iShares EURO STOXX Banks (DE),DE0006289309,iShares,Full Replication,Distributing,188.43621751499998,119.211293625,0.5806909881186182,0.016646548196599834,205.92,18.3391904762
iShares MDAX (DE),DE0005933923,iShares,Full Replication,Accumulating,185.387208938,161.645211878,0.1468772058520298,0.0163771972782986,761.238,10.4695714286
db x-trackers MSCI Emerging Markets TRN Index ETF,LU0292107645,db X-trackers,Swap-based,Accumulating,183.652721786,191.761038078,-0.04228343970844539,0.016223971829640606,2686.3378662684695,15.3339047619
ETFX DAX 2x Short Fund (ShortDAX x2),DE000A0X9AA8,ETF Securities,Swap-based,Accumulating,167.204130944,97.55168161200001,0.7140056243113695,0.014770895219271331,70.64504403000001,16.5902380952
db x-trackers EURO STOXX 50 ETF,LU0274211217,db X-trackers,Swap-based,Distributing,145.487892491,150.490771365,-0.03324375859477813,0.012852472026405326,885.9954172083,9.4126190476
"iShares eb.rexx Government Germany 5,5-10,5 (DE)",DE0006289499,iShares,Full Replication,Distributing,145.317394108,119.820558913,0.2127918232589192,0.01283741011533812,679.3484,5.321
Lyxor ETF LevDAX,LU0252634307,Lyxor ETF,Swap-based,Accumulating,139.31124576,155.528320226,-0.10427087775676347,0.012306824014272109,267.21287,13.7231904762
db x-trackers II EONIA Total Return Index ETF,LU0290358497,db X-trackers,Swap-based,Accumulating,131.871822443,207.632216917,-0.364877838318727,0.011649621697039803,1273.996586388,0.3323333333
ETFlab Deutsche Börse EuroGOV®  Germany 5-10,DE000ETFL201,ETFlab,Full Replication,Distributing,127.74972122,124.1653145,0.028868019498311748,0.011285473246254483,313.3037661,4.7635714286
iShares S&P 500,DE0002643889,iShares,Full Replication,Distributing,123.495397036,133.302513622,-0.0735703800290638,0.01090964415401918,7971.129599999999,5.7735714286
Lyxor ETF DAX,LU0252633754,Lyxor ETF,Swap-based,Accumulating,121.358553355,207.948644023,-0.41640132386928563,0.01072087433156435,696.485663,7.231952381
db x-trackers MSCI World TRN Index ETF,LU0274208692,db X-trackers,Swap-based,Accumulating,111.526276446,96.851216925,0.1515216843621503,0.00985228615034088,1762.8986421626896,12.1958571429
ComStage ETF ShortDAX® TR,LU0603940916,ComStage ETF,Swap-based,Accumulating,109.457605101,6.459303319,15.945729236623887,0.009669538705600188,26.9758445,28.6742857143
"iShares eb.rexx Government Germany 1,5-2,5 (DE)",DE0006289473,iShares,Full Replication,Distributing,102.269220905,61.709580071999994,0.6572665181917754,0.009034513307869176,1187.5248,3.801047619
iShares MSCI World,DE000A0HGZR1,iShares,Optimised,Distributing,99.898755513,88.354143784,0.13066293480499547,0.008825105228484655,3245.76,13.460047619
iShares MSCI Emerging Markets,DE000A0HGZT7,iShares,Optimised,Distributing,93.466771316,78.200977511,0.19521231435825293,0.008256900578937357,4241.25,17.6316666667
ETFX DAX 2x Long Fund (LevDAX x2),DE000A0X8994,ETF Securities,Swap-based,Accumulating,83.47187102,91.915690951,-0.09186483660881561,0.007373946167669099,30.324324899999997,15.1458095238
iShares STOXX Europe 600 (DE),DE0002635307,iShares,Full Replication,Distributing,79.70062776500001,85.077151678,-0.06319586172030145,0.007040792682456194,1385.193,15.007047619
iShares eb.rexx Government Germany (DE),DE0006289465,iShares,Full Replication,Distributing,75.885422588,51.568862265,0.4715357146729946,0.006703755579417377,691.2972000000001,5.7014761905
db x-trackers MSCI Europe TRN Index ETF,LU0274209237,db X-trackers,Swap-based,Accumulating,72.238752406,71.25206668899999,0.013847818917403387,0.006381606940783543,889.357823837142,14.994047619
"iShares eb.rexx Government Germany 2,5-5,5 (DE)",DE0006289481,iShares,Full Replication,Distributing,68.411360315,27.02339284,1.5315607377670788,0.006043493239764019,798.9096,5.7419047619
iShares eb.rexx Money Market (DE),DE000A0Q4RZ9,iShares,Full Replication,Distributing,65.41848581800001,40.396022283,0.6194288972241284,0.005779101233717099,612.7328,3.1978571429
Lyxor ETF EURO STOXX 50 Daily Double Short,FR0010424143,Lyxor ETF,Swap-based,Distributing,61.937087612000006,93.61944460699999,-0.3384164168885816,0.0054715528027838465,70.541388,17.7671904762
ETFlab DAX (Preisindex),DE000ETFL060,ETFlab,Full Replication,Distributing,60.730372399,73.717055604,-0.17616931520926515,0.005364950986966906,203.24600003999998,9.0332380952
Lyxor ETF Japan (Topix),FR0010245514,Lyxor ETF,Swap-based,Distributing,58.417819412,39.478602949,0.4797337050519852,0.005160658917942426,375.210141,16.4072380952
db x-trackers MSCI AC Asia ex Japan TRN Index ETF,LU0322252171,db X-trackers,Swap-based,Accumulating,56.356553812,38.770398920999995,0.4535974707620163,0.004978565700359867,401.61437193654,25.718952381
iShares STOXX  Europe 50 (DE),DE0005933949,iShares,Full Replication,Distributing,52.55431994,38.256957795999995,0.373719264878267,0.004642674488788748,282.204,16.1754761905
iShares Markit iBoxx EURO Corporate Bond,DE0002511243,iShares,Optimised,Distributing,51.271383498000006,89.24082646400001,-0.4254716643768083,0.0045293392520886835,3211.2288,14.3425714286
iShares Barclays Capital EURO Corporate Bond ex-Financials,DE000A0YEEX4,iShares,Full Replication,Distributing,47.899738636,27.949837160999998,0.7137752309640373,0.004231486485580921,1515.88905216,20.7295714286
db x-trackers MSCI Japan TRN Index ETF,LU0274209740,db X-trackers,Swap-based,Accumulating,47.526223517,53.705069148999996,-0.11505144169645021,0.004198489976138158,313.334499881958,16.6221904762
db x-trackers Stoxx® Europe 600 Banks Short Daily ETF,LU0322249037,db X-trackers,Swap-based,Accumulating,47.301250163999995,50.189130755,-0.057539960297326,0.0041786157194105885,116.2035222146,13.7460952381
db x-trackers ShortDAX 2x Daily ETF,LU0411075020,db X-trackers,Swap-based,Accumulating,46.998676980999996,24.471104352,0.9205785037306187,0.004151886255509058,58.14144,24.2863333333
ETFlab Deutsche Börse EuroGOV®  Germany,DE000ETFL177,ETFlab,Full Replication,Distributing,46.643983538,25.268117063000002,0.8459619852838418,0.004120552462187467,513.6208269,4.4528571429
iShares DivDAX (DE),DE0002635273,iShares,Full Replication,Distributing,44.806356266,55.397977233000006,-0.1911914747798893,0.003958215564566927,249.018,20.8392857143
db x-trackers Stoxx® Europe 600 Banks ETF,LU0292103651,db X-trackers,Swap-based,Accumulating,41.622346981,16.369847096999997,1.5426228317445845,0.0036769386172786243,110.7019406064,16.937047619
iShares MSCI Europe,DE000A0M5X28,iShares,Optimised,Distributing,40.938203636,42.827867412,-0.04412229443557436,0.003616501057471317,1368.968,15.1348095238
db x-trackers db Hedge Fund Index ETF (EUR),LU0328476337,db X-trackers,Swap-based,Accumulating,38.44916714,7.727757615,3.9754623599177163,0.0033966183484031324,213.3924963536,47.4730952381
ETFlab EURO STOXX 50 ,DE000ETFL029,ETFlab,Full Replication,Distributing,38.314753409999994,41.955905389,-0.08678520807120149,0.003384744173341474,459.253587618,15.8445238095
iShares EURO STOXX (DE),DE000A0D8Q07,iShares,Full Replication,Distributing,37.23600013,51.145017960000004,-0.27195254561994886,0.003289446577663878,501.3375,17.895952381
iShares MSCI Japan,DE000A0DPMW9,iShares,Optimised,Distributing,36.643884046,29.041372272999997,0.2617821121375905,0.0032371387513857185,1552.2822,24.8453809524
ComStage ETF EURO STOXX 50 NR,LU0378434079,ComStage ETF,Swap-based,Accumulating,36.151153126000004,59.716456449,-0.39461992094466647,0.003193610659409016,155.41095734,15.4057619048
db x-trackers DBLCI - OY Balanced ETF (EUR),LU0292106167,db X-trackers,Swap-based,Accumulating,36.099752121,26.129677828000002,0.38156131731238885,0.0031890698693296453,592.6523481994,28.2881428571
db x-trackers MSCI EM Asia TRN Index ETF,LU0292107991,db X-trackers,Swap-based,Accumulating,35.608859033,47.412913698,-0.2489628614724415,0.003145704132336335,839.5274284144125,29.7565714286
iShares FTSE/EPRA European Property Index Fund,DE000A0HG2Q2,iShares,Full Replication,Distributing,35.211135754,9.210180505,2.823066848134481,0.0031105690621248123,436.68,35.4511428571
iShares eb.rexx Jumbo Pfandbriefe (DE),DE0002635265,iShares,Full Replication,Distributing,35.099036571,25.128277073,0.39679439497718083,0.0031006661651275277,1297.725,22.1371428571
db x-trackers II iBoxx € Sovereigns Eurozone TR Index ETF,LU0290355717,db X-trackers,Swap-based,Accumulating,34.905461021,34.697126028999996,0.006004387562989377,0.003083565605769814,484.46986587279997,21.0085238095
db x-trackers EURO STOXX 50 ETF,LU0380865021,db X-trackers,Swap-based,Accumulating,34.339714115,73.41672382899999,-0.5322630550093325,0.0030335872456541076,425.397807936,14.8539047619
db x-trackers Stoxx® Europe 600 ETF,LU0328475792,db X-trackers,Swap-based,Accumulating,33.31394331,27.94395279,0.19217003980631175,0.002942970147894022,200.1099774156,12.5078571429
"iShares eb.rexx Government Germany 10,5+ (DE)",DE000A0D8Q31,iShares,Full Replication,Distributing,32.831883915,9.399857876,2.4928064177254585,0.002900384783687948,97.13539999999999,17.707047619
iShares Nasdaq-100 (DE),DE000A0F5UF5,iShares,Full Replication,Distributing,32.747380148,35.698355798,-0.08266418954133825,0.0028929196793215446,333.0882,13.8630952381
db x-trackers MSCI USA TRN Index ETF,LU0274210672,db X-trackers,Swap-based,Accumulating,32.209360497,44.647398681999995,-0.27858371488985545,0.002845390758558866,1524.197522924598,15.814952381
db x-trackers Stoxx® Europe 600 Basic Resources ETF,LU0292100806,db X-trackers,Swap-based,Accumulating,31.938493618,25.943146646000002,0.23109559737713536,0.002821462245157364,55.2233081478,16.3327619048
iShares Barclays Capital $ Treasury Bond 7-10,DE000A0LGQB6,iShares,Full Replication,Distributing,31.36380042,18.151175901000002,0.7279211325516424,0.002770693565203344,677.9948,12.8628095238
Lyxor ETF S&P 500,LU0496786574,Lyxor ETF,Swap-based,Distributing,30.916024323,20.339634643,0.5199891672410115,0.0027311368044155592,55.718012,7.9236190476
db x-trackers MSCI Brazil TRN Index ETF,LU0292109344,db X-trackers,Swap-based,Accumulating,30.727262692,47.199063338,-0.34898575270536236,0.002714461509031538,176.776596836811,27.0907619048
ETFlab Deutsche Börse EuroGOV®  Germany 1-3,DE000ETFL185,ETFlab,Full Replication,Distributing,30.52521581,9.75877421,2.1279764397787004,0.0026966125880356685,291.54709103999994,4.578047619
Lyxor ETF EURO STOXX 50,FR0007054358,Lyxor ETF,Swap-based,Distributing,28.615576916000002,44.115617755,-0.3513504202770287,0.0025279141482861967,3687.58045,10.0860952381
Lyxor ETF MSCI World,FR0010315770,Lyxor ETF,Swap-based,Distributing,28.338001103,14.174219115,0.999263654179795,0.0025033929643532454,665.634735,10.791952381
AMUNDI ETF SHORT DAX 30,FR0010791178,Amundi ETF,Swap-based,Accumulating,27.991604294,1.32551429,20.117542455162816,0.00247279209976251,8.99217483,21.3877619048
