Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,ETF Segment of Deutsche Börse Group,,,,,,,,,,,,
,Monthly Report: March 2022,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Product Name,ISIN,Xetra Ticker,Product Family,ETF Type,Replication,Income Treatment,Trd Cry,Xetra Order Book Turnover (€ m)	,,Assets under Management (€ m),Xetra Liquidity Measure (XLM)*
,,Exchange Traded Funds,,,,,,,,03-2022,February 2022,March 2022,March 2022
,1,iShares Core DAX UCITS ETF (DE) EUR (Acc),DE0005933931,EXS1,iShares,Passive,Full Replication,Accumulating,EUR,2452.24325426,1227.90154184,5820.09441093,4.01366666666667
,2,iShares Core MSCI World UCITS ETF,IE00B4L5Y983,EUNL,iShares,Passive,Optimised,Accumulating,EUR,1229.447604842,1586.866845048,41539.45579291956,4.22921739130435
,3,iShares Core EURO STOXX 50 UCITS ETF (DE),DE0005933956,EXW1,iShares,Passive,Full Replication,Distributing,EUR,1163.294072715,712.6162781549999,4978.76550761,4.73768181818182
,4,iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,EXSA,iShares,Passive,Full Replication,Distributing,EUR,738.907851465,470.83943641,6592.85206808,4.98930434782609
,5,iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR (Dist),DE0006289309,EXX1,iShares,Passive,Full Replication,Distributing,EUR,667.4908951519999,492.049077158,1725.29558822,9.66604347826087
,6,Xtrackers DAX UCITS ETF 1C,LU0274211480,DBXD,Xtrackers,Passive,Full Replication,Accumulating,EUR,619.3435963800009,337.18151918,3838.2376199184,4.37919047619048
,7,iShares Core S&P 500 UCITS ETF USD (Acc),IE00B5BMR087,SXR8,iShares,Passive,Full Replication,Accumulating,EUR,361.8088941,323.0081005,52980.38864395099,4.87308695652174
,8,iShares Core EURO STOXX 50 UCITS ETF EUR (Acc),IE00B53L3W79,SXRT,iShares,Passive,Full Replication,Accumulating,EUR,316.6546861,111.6130636,3913.91107274,7.96036363636364
,9,iShares Global Clean Energy UCITS ETF USD (Dist),IE00B1XNHC34,IQQH,iShares,Passive,Full Replication,Distributing,EUR,280.907596998,175.345851,5489.750858670389,23.901347826087
,10,Xtrackers EURO STOXX 50 UCITS ETF 1D,LU0274211217,DBXE,Xtrackers,Passive,Full Replication,Distributing,EUR,236.6292103,139.33121903,2683.4125527648,5.38868181818182
,11,Xtrackers ShortDAX Daily Swap UCITS ETF 1C,LU0292106241,DXSN,Xtrackers,Passive,Swap-based,Accumulating,EUR,234.92561007,195.028055126,322.5542589122,7.6523
,12,Xtrackers EURO STOXX 50 UCITS ETF 1C,LU0380865021,DXET,Xtrackers,Passive,Full Replication,Accumulating,EUR,230.76603375,235.09769197,4310.8229940321,5.57908695652174
,13,iShares MDAX UCITS ETF (DE) EUR (Acc),DE0005933923,EXS3,iShares,Passive,Full Replication,Accumulating,EUR,211.05300695,120.9294225,1466.97437166,8.52373913043478
,14,iShares STOXX Europe 600 Banks UCITS ETF (DE),DE000A0F5UJ7,EXV1,iShares,Passive,Full Replication,Distributing,EUR,209.101728678,333.951555454,1028.89293645,12.3092173913043
