XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Turnover Report: October 2021,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Product Family,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM
,,,,,10-2021,09-2021,Change (%),Market Share,in MEUR
iShares Core DAX UCITS ETF (DE) EUR (Acc),DE0005933931,iShares,Full Replication,Accumulating,987.2200235399999,716.93538054,0.37700000632751585,0.0584624069121656,6859.27197673
iShares Core MSCI World UCITS ETF,IE00B4L5Y983,iShares,Optimised,Accumulating,592.72049306,588.33842104,0.007448216644178718,0.03510044956968919,38715.03411556032
iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,iShares,Full Replication,Distributing,386.31827272000004,177.91342619,1.1713834699998258,0.02287746958005913,6842.74912809
iShares Core EURO STOXX 50 UCITS ETF (DE),DE0005933956,iShares,Full Replication,Distributing,324.60757077999995,291.57000299000003,0.11330921374354475,0.019223009498592323,6229.40916988
Xtrackers DAX UCITS ETF 1C,LU0274211480,Xtrackers,Full Replication,Accumulating,215.5741113,181.81369808000002,0.18568685185175116,0.01276613228463192,4299.9386783328
iShares Core S&P 500 UCITS ETF USD (Acc),IE00B5BMR087,iShares,Full Replication,Accumulating,215.25337025,207.47190162,0.03750613248946033,0.012747138247506035,47670.969783194494
iShares Global Clean Energy UCITS ETF USD (Dist),IE00B1XNHC34,iShares,Full Replication,Distributing,198.41523637,158.78544908,0.24958072367218942,0.011749996970930017,5568.089400884499
Vanguard FTSE All-World UCITS ETF,IE00B3RBWM25,Vanguard,Optimised,Distributing,168.32552868000002,118.46549928,0.42088227967665914,0.009968107733581479,7856.77426
iShares Core MSCI EM IMI UCITS ETF USD (Acc),IE00BKM4GZ66,iShares,Optimised,Accumulating,156.21403424000002,146.26841737,0.06799565517169448,0.009250874392095246,15552.195454409617
iShares Nasdaq-100 UCITS ETF USD (Acc),IE00B53SZB19,iShares,Full Replication,Accumulating,154.587466,147.1298541,0.05068727856503741,0.009154550277865575,7329.80992916273
