XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Turnover Report: December 2018,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Product Family,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,,12-2018,11-2018,Change (%),Market Share,in MEUR,100000
iShares Core DAX UCITS ETF (DE),DE0005933931,iShares,Full Replication,Accumulating,943.09405871,1167.44616943,-0.19217340944254313,0.09171076657599758,6643.39419462,2.674823529411765
iShares EURO STOXX 50 UCITS ETF (DE),DE0005933956,iShares,Full Replication,Distributing,440.480799,274.48421542,0.6047582128757443,0.04283436139291794,6975.74392645,4.625235294117648
iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,iShares,Full Replication,Distributing,213.51100204,278.41275010000004,-0.23311341896766113,0.02076278340283659,5251.928695359999,4.733882352941176
Xtrackers Euro Stoxx 50 UCITS ETF 1C,LU0380865021,Xtrackers,Full Replication,Accumulating,195.51651909999998,117.49208239000001,0.6640825077132244,0.019012917830760524,2947.2871898652,3.965176470588236
Xtrackers DAX UCITS ETF 1C,LU0274211480,Xtrackers,Full Replication,Accumulating,193.68140133,130.96308116,0.47890076817432137,0.018834462611061503,3574.3835139584,3.909882352941177
iShares Core MSCI World UCITS ETF USD (Acc),IE00B4L5Y983,iShares,Optimised,Accumulating,192.83031288,184.5307219,0.04497674368009941,0.01875169888940235,12131.320716401744,6.000058823529411
iShares Core S&P 500 UCITS ETF,IE00B5BMR087,iShares,Full Replication,Accumulating,171.28276144,194.9224158,-0.12127724901714465,0.016656316735154466,25033.99652673362,5.223823529411765
Xtrackers DAX Income UCITS ETF 1D,LU0838782315,Xtrackers,Full Replication,Distributing,135.97182637999998,98.57169105,0.3794206524369046,0.013222520399614541,483.679335,3.506411764705882
Deka DAX UCITS ETF,DE000ETFL011,Deka ETF,Full Replication,Accumulating,132.38150726,153.30087894,-0.13645956777708734,0.01287338139729907,1679.4683465,3.741882352941177
Deka EURO STOXX 50 UCITS ETF,DE000ETFL029,Deka ETF,Full Replication,Distributing,131.44685191,80.48067278,0.6332722797847365,0.012782491249236735,950.41269025,8.282647058823528
Xtrackers MSCI EMU UCITS ETF 1D,LU0846194776,Xtrackers,Full Replication,Distributing,127.97099168000001,135.5910075,-0.05619853381500961,0.012444482751292903,2020.1995600517,6.175411764705882
iShares EURO STOXX UCITS ETF (DE),DE000A0D8Q07,iShares,Full Replication,Distributing,120.39365259,124.96941045999999,-0.036615023253747325,0.01170762774713699,1412.80258673,6.221
iShares EURO STOXX Banks 30-15 UCITS ETF (DE),DE0006289309,iShares,Full Replication,Distributing,114.9052752,170.07969272999998,-0.3244033231973724,0.011173912903907287,1628.1571524,9.332764705882353
iShares EURO STOXX 50 UCITS ETF (Dist),IE0008471009,iShares,Full Replication,Distributing,107.4830235,142.07992019,-0.24350306956630052,0.010452139304720276,4032.3164019299998,5.404176470588236
Xtrackers ShortDAX Daily Swap UCITS ETF 1C,LU0292106241,Xtrackers,Swap-based,Accumulating,102.20153309,77.72682731,0.314881060079641,0.009938543094786118,369.4192703075,5.365235294117647
iShares MDAX UCITS ETF (DE),DE0005933923,iShares,Full Replication,Accumulating,98.82555574,64.14993617,0.5405402037830274,0.009610247663538034,1488.38226525,8.715235294117647
Xtrackers Euro Stoxx 50 UCITS ETF 1D,LU0274211217,Xtrackers,Full Replication,Distributing,85.89565411,89.83227464,-0.04382189525731017,0.008352885071453063,2497.0298071254,4.81
iShares S&P 500 UCITS ETF USD (Dist),IE0031442068,iShares,Full Replication,Distributing,85.76633848,134.20253094,-0.36091862143535214,0.00834030982994027,6699.332000576418,5.365529411764705
Deka DAX (ausschuettend) UCITS ETF,DE000ETFL060,Deka ETF,Full Replication,Distributing,81.56798020000001,56.41646592,0.44581867846287104,0.00793204232717798,682.75544512,5.025235294117647
