XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Turnover Report: September 2021,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Product Family,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM
,,,,,09-2021,08-2021,Change (%),Market Share,in MEUR
Deka EURO STOXX 50 UCITS ETF,DE000ETFL029,Deka ETF,Full Replication,Distributing,65.85291147,51.192422990000004,0.2863800465718098,0.004066597946177084,1098.07191796
iShares Automation & Robotics UCITS ETF USD (Acc),IE00BYZK4552,iShares,Optimised,Accumulating,63.89447449,55.38581997,0.15362514312523956,0.003945659089825783,3127.897154132482
iShares STOXX Europe 600 Health Care UCITS ETF (DE),DE000A0Q4R36,iShares,Full Replication,Distributing,62.57526993,26.47793497,1.3632987240469832,0.0038641945890993817,749.34346623
iShares Global Water UCITS ETF USD (Dist),IE00B1TXK627,iShares,Full Replication,Distributing,62.03176957,69.85078643000001,-0.11193885222517475,0.003830631950813763,2080.026543483893
Vanguard S&P 500 UCITS ETF,IE00B3XXRP09,Vanguard,Full Replication,Distributing,60.40303151,47.34784002000001,0.2757293993661676,0.0037300529072786287,26708.274472
iShares Core S&P 500 UCITS ETF USD (Dist),IE0031442068,iShares,Optimised,Distributing,59.80720651,54.08752313,0.10574866529296734,0.003693259078923982,11618.398008463599
Lyxor MSCI World UCITS ETF - Dist,FR0010315770,Lyxor,Swap-based,Distributing,58.41556376,53.67117274,0.0883973794085573,0.00360732132123592,3742.3257483398
iShares MSCI Europe SRI UCITS ETF EUR (Acc),IE00B52VJ196,iShares,Optimised,Accumulating,58.173596200000006,51.435077039999996,0.131010188917567,0.0035923791605846677,3560.54256469
iShares Edge MSCI World Value Factor UCITS ETF USD (Acc),IE00BP3QZB59,iShares,Optimised,Accumulating,57.281413619999995,29.73863931,0.9261612148050897,0.0035372844386285115,5468.034963131532
iShares Core EUR Corp Bond UCITS ETF EUR (Dist),IE00B3F81R35,iShares,Optimised,Distributing,55.241291579999995,49.07277971,0.1257012931905095,0.0034113013057249027,9777.11166634
Xtrackers S&P 500 Equal Weight UCITS ETF 1C,IE00BLNMYC90,Xtrackers,Full Replication,Accumulating,54.709671590000006,30.31994443,0.8044120006983801,0.003378472312879757,3425.066588365768
iShares MSCI World Small Cap UCITS ETF USD (Acc),IE00BF4RFH31,iShares,Optimised,Accumulating,54.52280192,65.02107382,-0.161459528168709,0.003366932598093251,2025.0671467225152
iShares MSCI EM SRI UCITS ETF USD (Acc),IE00BYVJRP78,iShares,Full Replication,Accumulating,54.45644685,59.08370326,-0.07831696651845921,0.0033628349904802094,2389.349994775024
Xtrackers MSCI World Information Technology UCITS ETF 1C,IE00BM67HT60,Xtrackers,Optimised,Accumulating,53.85472691,52.297238549999996,0.029781464627638643,0.003325677133408202,1992.016119402263
Deka DAX (ausschuettend) UCITS ETF,DE000ETFL060,Deka ETF,Full Replication,Distributing,53.30056626,45.20548776,0.17907291572601758,0.0032914561929693153,943.3829728300001
Xtrackers II Eurozone Government Bond UCITS ETF 1C,LU0290355717,Xtrackers,Optimised,Accumulating,52.80572601,44.71839971,0.18085008301832195,0.00326089844997184,2386.0985356941
Deka MSCI World UCITS ETF,DE000ETFL508,Deka ETF,Full Replication,Distributing,52.242114369999996,58.11744017,-0.10109402242793253,0.003226093884972316,894.1313900299999
Amundi MSCI Emerging Markets UCITS ETF - EUR (C),LU1681045370,Amundi,Swap-based,Accumulating,51.15653896,45.765560369999996,0.11779553328781844,0.0031590566252038175,2574.515081243073
iShares MSCI China A UCITS ETF USD (Acc),IE00BQT3WG13,iShares,Optimised,Accumulating,50.82338646,44.195684549999996,0.14996264855908903,0.003138483544347993,1872.9555464116072
