XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Turnover Report: June 2016,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Product Family,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,,06/2016,05/2016,Change (%),Market Share,in MEUR,100000
iShares Core DAX UCITS ETF (DE),DE0005933931,iShares,Full Replication,Accumulating,1882.5282017539998,1041.3735913120001,0.8077356843496006,0.1073623282816574,7702.866,3.302090909090909
iShares EURO STOXX 50 UCITS ETF (DE),DE0005933956,iShares,Full Replication,Distributing,942.762712373,677.326500301,0.3918881247877377,0.05376663134352469,5770.989,6.861681818181819
db x-trackers DAX UCITS ETF (DR) 1C ,LU0274211480,db X-trackers,Full Replication,Accumulating,856.702778385,359.42832790499995,1.3835149092962813,0.04885855353831112,3896.7093287768002,3.908318181818181
iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,iShares,Full Replication,Distributing,825.836572918,409.411229352,1.0171321979250583,0.04709822523031046,4921.543,8.166772727272727
Deka DAX UCITS ETF,DE000ETFL011,Deka ETFs,Full Replication,Accumulating,605.482623534,475.82970498900005,0.272477563266037,0.03453123524849652,1474.4094721600002,4.463272727272727
iShares EURO STOXX 50 UCITS ETF (Dist),IE0008471009,iShares,Full Replication,Distributing,599.7863922280001,186.91823109999999,2.208816971454852,0.03420637389721731,5124.60965085,8.085636363636363
iShares EURO STOXX Banks 30-15 UCITS ETF (DE) ,DE0006289309,iShares,Full Replication,Distributing,397.81122145300003,175.264172785,1.269780612498613,0.022687542694962103,717.836,14.76395454545454
db x-trackers ShortDAX Daily UCITS ETF 1C ,LU0292106241,db X-trackers,Swap-based,Accumulating,368.61942166,181.97103918000002,1.025703778585192,0.02102270729457428,359.5099970211,6.539681818181818
db x-trackers EURO STOXX 50 UCITS ETF (DR) 1C ,LU0380865021,db X-trackers,Full Replication,Accumulating,337.72732036900004,299.318818714,0.12831970211568788,0.019260902123727785,2540.6610001455,7.0805
db x-trackers EURO STOXX 50 UCITS ETF (DR) 1D ,LU0274211217,db X-trackers,Full Replication,Distributing,270.413731247,157.284366501,0.7192664297330575,0.015421945742410764,2290.1950406064,8.009272727272728
