XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Monthly turnover report: October 2009,,,,,,,
,,,,,,,
,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,,XLM,AuM
,,10/2009,09/2009,Change (%),Market Share,"€ 100,000 round trip",in €m
ComStage ETF MSCI EM Eastern Europe TRN,LU0392495379,0.43551795,0.09493963000000001,3.587314591388232,3.0001737327586183e-05,26.1815909091,12.3453
ComStage ETF MSCI EMU TRN,LU0392494729,0.06516,0.2002055,-0.6745344158876754,4.488708684143824e-06,24.9494545455,221.174307
ComStage ETF MSCI Europe Large Cap TRN,LU0392496187,0,0,,0,13.8607333333,9.278936
ComStage ETF MSCI Europe Mid Cap TRN,LU0392496260,0.0142154,0.041232279999999996,-0.655236140227996,9.792631895116347e-07,11.4250909091,9.898686
ComStage ETF MSCI Europe Small Cap TRN,LU0392496344,5.39279136,0.406166326,12.277298029871634,0.0003714958472898678,20.8369545455,11.44207644
ComStage ETF MSCI Europe TRN,LU0392494646,0.06336475,0,,4.365038422246814e-06,11.0655909091,46.46892
ComStage ETF MSCI Japan TRN,LU0392495452,0.9937293,0.7549537780000001,0.31627833247295833,6.845551471145126e-05,12.3271363636,14.8128
ComStage ETF MSCI North America TRN,LU0392494992,0.38738204,0.90625587,-0.5725467245801122,2.668577543016191e-05,18.4008181818,35.873726
ComStage ETF MSCI Pacific ex Japan TRN,LU0392495296,8.14302262,12.61898174,-0.3547004989960466,0.0005609523687779864,23.5181818182,24.66712
ComStage ETF MSCI Pacific TRN,LU0392495023,0.049171980000000004,0.02585792,0.9016216308194938,3.3873341565768332e-06,43.5587727273,9.07875
ComStage ETF MSCI Russia 30% Capped TRN,LU0392495536,0.66210787,0.50403918,0.3136039741989898,4.561094760449617e-05,65.2174545455,12.3012
ComStage ETF MSCI Taiwan TRN,LU0392495619,2.87065975,2.00676629,0.4304903188303011,0.00019775253758513107,26.9616818182,21.89968
ComStage ETF MSCI USA Large Cap TRN,LU0392495882,0.3851812,0.73206612,-0.47384370144052024,2.653416509221822e-05,27.4018636364,8.707728
ComStage ETF MSCI USA Mid Cap TRN,LU0392495965,0.90115258,0.026067450000000002,33.57003197474244,6.207813707158706e-05,34.2598181818,9.88628
ComStage ETF MSCI USA Small Cap TRN,LU0392496005,0.20480046,0.126046999,0.6247944149784954,1.4108189123981735e-05,48.7199545455,21.40855
ComStage ETF MSCI USA TRN,LU0392495700,15.78841833,2.212119237,6.137236576547163,0.0010876244700240413,17.9488181818,35.452422
