XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Turnover Report: May 2010,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Issuer,Replication,"Income 
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,,05/2010,04/2010,Change (%),Market Share,in MEUR,100.000€
Amundi ETF Commodities S&P GSCI (LE),FR0010821728,Amundi ETF,Swap-based,Capitalizing,0,0,,0,4.39,39.8437
Amundi ETF Commodities S&P GSCI Agriculture ,FR0010821736,Amundi ETF,Swap-based,Capitalizing,0,0,,0,4.07,57.9429047619
Amundi ETF Commodities S&P GSCI Metals ,FR0010821744,Amundi ETF,Swap-based,Capitalizing,0,0.0008981815504675,-1,0,4.48,41.1328095238
Amundi ETF Commodities S&P GSCI Non Energy ,FR0010821777,Amundi ETF,Swap-based,Capitalizing,0,0,,0,4.34,48.1978095238
Amundi ETF DJ STOXX 600,FR0010791004,Amundi ETF,Swap-based,Capitalizing,0.37934951,0.0140672,25.966952200864423,1.8645858434469876e-05,17.71,20.7816666667
Amundi ETF EONIA,FR0010718841,Amundi ETF,Swap-based,Capitalizing,1.317802,0,,6.477285165509051e-05,335.75,2.535047619
Amundi ETF Euro Corporates,FR0010754119,Amundi ETF,Swap-based,Capitalizing,0.0070707,0,,3.475403757147496e-07,108.55,51.6914285714
Amundi ETF Euro Inflation ,FR0010754127,Amundi ETF,Swap-based,Capitalizing,0,0,,0,25.47,72.9645714286
Amundi ETF DJ Euro STOXX 50,FR0010654913,Amundi ETF,Swap-based,Capitalizing,21.29059925,6.2342044,2.4151269165958045,0.0010464795370383648,579.11,14.3467
Amundi ETF EuroMTS Cash 3 Months,FR0010754200,Amundi ETF,Swap-based,Capitalizing,0,0,,0,5.91,3.4668095238
Amundi ETF Govt Bond EuroMTS Broad,FR0010754192,Amundi ETF,Swap-based,Capitalizing,0,0,,0,42.2,44.88565
Amundi ETF Govt Bond EuroMTS Broad 10-15,FR0010754143,Amundi ETF,Swap-based,Capitalizing,0,0,,0,26.22,57.537952381
Amundi ETF Govt Bond EuroMTS Broad 1-3,FR0010754135,Amundi ETF,Swap-based,Capitalizing,0,0,,0,205.93,31.7628095238
Amundi ETF Govt Bond EuroMTS Broad 3-5,FR0010754168,Amundi ETF,Swap-based,Capitalizing,0,0,,0,158.47,32.6198095238
Amundi ETF Govt Bond EuroMTS Broad 5-7,FR0010754176,Amundi ETF,Swap-based,Capitalizing,0,0,,0,26.03,44.0004285714
Amundi ETF Govt Bond EuroMTS Broad 7-10,FR0010754184,Amundi ETF,Swap-based,Capitalizing,0,0,,0,26.18,44.188047619
Amundi ETF Leveraged DJ Euro STOXX 50,FR0010756072,Amundi ETF,Swap-based,Capitalizing,1.46264202,0.2291598,5.382629152233507,7.189205554852849e-05,11.63,40.4634761905
Amundi ETF Leveraged MSCI Europe Daily,FR0010756080,Amundi ETF,Swap-based,Capitalizing,1.5152186399999998,1.1824,0.28147719891745604,7.447631145934517e-05,27.86,17.7852380952
Amundi ETF Leveraged MSCI USA Daily,FR0010755611,Amundi ETF,Swap-based,Capitalizing,1.73941319,0.42230634,3.118842236656925,8.549596413025459e-05,20.8,12.2007619048
Amundi ETF MSCI Brazil,FR0010821793,Amundi ETF,Swap-based,Capitalizing,0,0,,0,34.78,47.482047619
Amundi ETF MSCI China,FR0010713784,Amundi ETF,Swap-based,Capitalizing,4.13213668,3.9732686800000003,0.03998420766249322,0.00020310355895058454,52.22,49.5474285714
Amundi ETF MSCI Eastern Europe EX Russia,FR0010717074,Amundi ETF,Swap-based,Capitalizing,0.17639988,1.0783171,-0.8364118680859276,8.670440065514977e-06,8.06,27.7553809524
Amundi ETF MSCI EMU,FR0010655688,Amundi ETF,Swap-based,Capitalizing,0.65776875,0.392875,0.6742443525294306,3.233077326267855e-05,155.6,19.6225714286
Amundi ETF MSCI EMU High Dividend,FR0010717090,Amundi ETF,Swap-based,Capitalizing,0.50250762,0,,2.469934901131778e-05,6.37,13.0871428571
Amundi ETF MSCI Europe,FR0010655696,Amundi ETF,Swap-based,Capitalizing,2.99859677,0,,0.0001473875921850502,234.48,10.6033
Amundi ETF MSCI Europe Banks,FR0010688176,Amundi ETF,Swap-based,Capitalizing,1.47502824,0,,7.25008653626184e-05,6.42,22.0696190476
Amundi ETF MSCI Europe Consumer Discretionary,FR0010688184,Amundi ETF,Swap-based,Capitalizing,0.8274952,0.41696554999999996,0.9845649118973978,4.0673199642206834e-05,7.27,19.5518095238
Amundi ETF MSCI Europe Consumer Staples,FR0010688168,Amundi ETF,Swap-based,Capitalizing,0.18683334,0.00106134,175.03533269263383,9.183267452959615e-06,31.19,18.2541428571
Amundi ETF MSCI Europe EX EMU,FR0010821819,Amundi ETF,Swap-based,Capitalizing,0.43361284,0,,2.1313019832313577e-05,10.42,20.47765
Amundi ETF MSCI Europe Healthcare,FR0010688192,Amundi ETF,Swap-based,Capitalizing,0.14849220000000002,0,,7.298716531419767e-06,18.48,21.4662380952
Amundi ETF MSCI Europe High Dividend,FR0010718874,Amundi ETF,Swap-based,Capitalizing,0.74026102,0.00332,221.97018674698796,3.638544882653539e-05,10.01,12.4677142857
Amundi ETF MSCI Europe Industrials,FR0010688218,Amundi ETF,Swap-based,Capitalizing,0.29255590000000004,0,,1.4379762598267035e-05,8.03,18.2453333333
Amundi ETF MSCI Europe Insurance,FR0010688226,Amundi ETF,Swap-based,Capitalizing,0.33882747999999996,0.0047775,69.9215028780743,1.6654111997635565e-05,6.14,23.0137619048
Amundi ETF MSCI Europe IT,FR0010713768,Amundi ETF,Swap-based,Capitalizing,0.5986623000000001,0.054245800000000004,10.036104177650621,2.9425561920072434e-05,5.94,16.9358571429
Amundi ETF MSCI Europe Materials,FR0010791137,Amundi ETF,Swap-based,Capitalizing,1.04238787,0,,5.1235644558572355e-05,6.24,18.1632380952
Amundi ETF MSCI Europe Telecom Services,FR0010713735,Amundi ETF,Swap-based,Capitalizing,0.6640301,0,,3.263853231503284e-05,7.79,20.5385714286
Amundi ETF MSCI Europe Utilities,FR0010688234,Amundi ETF,Swap-based,Capitalizing,0.3340535,0,,1.6419460435151696e-05,5.22,20.3834761905
Amundi ETF MSCI Germany,FR0010655712,Amundi ETF,Swap-based,Capitalizing,0.64728588,7.35259,-0.9119649157643769,3.181551726562467e-05,53.87,5.6179047619
Amundi ETF MSCI India,FR0010713727,Amundi ETF,Swap-based,Capitalizing,5.78533071,1.54909513,2.734651667260745,0.00028436166271903477,30.88,38.8652380952
Amundi ETF MSCI Japan,FR0010688242,Amundi ETF,Swap-based,Capitalizing,2.2149114500000002,0.62222176,2.559681760406451,0.00010886774400100426,83.12,36.0410952381
Amundi ETF MSCI Nordic,FR0010655738,Amundi ETF,Swap-based,Capitalizing,2.19862278,0.7336655,1.9967645745915545,0.00010806712023084097,33.05,20.4312857143
Amundi ETF MSCI Pacific ex Japan,FR0010713669,Amundi ETF,Swap-based,Capitalizing,1.99264758,0.0181924,108.53186935203712,9.794298847642901e-05,75.43,41.4306190476
Amundi ETF MSCI Switzerland,FR0010655753,Amundi ETF,Swap-based,Capitalizing,1.97299243,0.03085336,62.94740896939587,9.697689484839645e-05,23.19,16.8867619048
Amundi ETF MSCI UK,FR0010655761,Amundi ETF,Swap-based,Capitalizing,0.73771073,0,,3.626009649299252e-05,55.31,19.1775238095
Amundi ETF MSCI USA,FR0010688275,Amundi ETF,Swap-based,Capitalizing,0.8473189499999999,0.00152736,553.760469044626,4.164758032913673e-05,434.43,13.7195714286
Amundi ETF MSCI World Energy,FR0010791145,Amundi ETF,Swap-based,Capitalizing,0.52069531,0,,2.5593313769543046e-05,9.58,36.8325238095
Amundi ETF MSCI World ex EMU,FR0010756114,Amundi ETF,Swap-based,Capitalizing,0,0.08084960000000001,-1,0,101.29,19.532
Amundi ETF MSCI World ex Europe,FR0010756122,Amundi ETF,Swap-based,Capitalizing,0.0031726,0.0171826,-0.8153597243723302,1.5594023165918714e-07,6.75,19.927
Amundi ETF MSCI World Financials,FR0010791152,Amundi ETF,Swap-based,Capitalizing,0.003657,0.004171,-0.12323183888755695,1.797495515279731e-07,10.52,33.8801
Amundi ETF Real Estate REIT IEIF,FR0010791160,Amundi ETF,Swap-based,Capitalizing,0,0,,0,5.3,39.9578
Amundi ETF Short DAX 30,FR0010791178,Amundi ETF,Swap-based,Capitalizing,1.34264619,0.01280852,103.82445981268718,6.599399795275956e-05,4.55,10.8066190476
Amundi ETF Short DJ Euro STOXX 50,FR0010757781,Amundi ETF,Swap-based,Capitalizing,0.75974673,0,,3.7343214107832665e-05,8.83,26.6113809524
Amundi ETF Short Govt Bond EuroMTS Broad,FR0010821850,Amundi ETF,Swap-based,Capitalizing,0.0061693500000000005,0.0033650999999999998,0.8333333333333337,3.0323705105799857e-07,5.96,45.0991904762
Amundi ETF Short Govt Bond EuroMTS Broad 10-15,FR0010823385,Amundi ETF,Swap-based,Capitalizing,0.34583354,0.0797092,3.3386903895660733,1.6998475175917784e-05,188.39,57.0780952381
Amundi ETF Short Govt Bond EuroMTS Broad 1-3,FR0010821876,Amundi ETF,Swap-based,Capitalizing,0.01107,0,,5.441147211962434e-07,6.56,31.7773333333
Amundi ETF Short Govt Bond EuroMTS Broad 3-5,FR0010823401,Amundi ETF,Swap-based,Capitalizing,5.73875094,0.01137053,503.70390914055895,0.0002820721651068455,22.76,32.6675238095
Amundi ETF Short Govt Bond EuroMTS Broad 5-7,FR0010823443,Amundi ETF,Swap-based,Capitalizing,0.09523925,0,,4.681217521290815e-06,5.83,44.4634761905
Amundi ETF Short Govt Bond EuroMTS Broad 7-10,FR0010823450,Amundi ETF,Swap-based,Capitalizing,0.04864614,0.0061987200000000004,6.847771798048629,2.391064218913588e-06,5.74,44.2514
ComStage ETF ATX,LU0392496690,ComStage ETF,Swap-based,Capitalizing,3.1017139,2.02583395,0.5310800275609953,0.00015245602474516827,26.293416,38.713952381
ComStage ETF CAC 40,LU0419740799,ComStage ETF,Swap-based,Capitalizing,0.00788525,,,3.8757729045281645e-07,17.96586,11.963
ComStage ETF CAC 40 Leverage,LU0419741094,ComStage ETF,Swap-based,Capitalizing,0,,,0,7.75632,44.5441428571
ComStage ETF CAC 40 Short TR,LU0419740955,ComStage ETF,Swap-based,Capitalizing,0,,,0,10.787279999999997,28.7460909091
ComStage ETF Commerzbank Commodity EW Index TR,LU0419741177,ComStage ETF,Swap-based,Capitalizing,3.8168861400000003,2.93668449,0.2997263250435187,0.0001876083051403709,156.975,50.8728095238
ComStage ETF Commerzbank EONIA Index TR,LU0378437684,ComStage ETF,Swap-based,Capitalizing,55.435397463,20.093006026999998,1.7589399708788536,0.0027247710781375957,357.126,2.3239047619
ComStage ETF Commerzbank FED Funds Effective Rate Index TR,LU0378437767,ComStage ETF,Swap-based,Capitalizing,13.37580726,1.63688228,7.17151448423035,0.0006574501931390775,73.575,24.9953809524
ComStage ETF DAX TR,LU0378438732,ComStage ETF,Swap-based,Capitalizing,82.930833371,133.197405815,-0.3773840198796067,0.004076231913119583,429.95975,9.6695
ComStage ETF Euro STOXX 50,LU0378434079,ComStage ETF,Swap-based,Capitalizing,139.567448614,159.275349977,-0.12373478611628164,0.006860045473412613,250.3925,16.1475714286
ComStage ETF Euro STOXX 50 Leveraged TR,LU0392496930,ComStage ETF,Swap-based,Capitalizing,6.86334601,6.514022059999999,0.05362646100710333,0.0003373484734150406,12.4729,24.3305714286
ComStage ETF Euro STOXX 50 Short TR,LU0392496856,ComStage ETF,Swap-based,Capitalizing,29.874656469999998,17.83598655,0.6749651826800687,0.0014684047313466664,30.115099999999995,26.2785238095
ComStage ETF Euro STOXX Select Dividend 30 TR,LU0378434236,ComStage ETF,Swap-based,Capitalizing,2.720164156,1.306263848,1.0824002441503686,0.0001337020199954792,117.64248,8.1958571429
ComStage ETF STOXX 600 Automobiles & Parts TR,LU0378435043,ComStage ETF,Swap-based,Capitalizing,1.42841417,0.39376428,2.6275869664968083,7.020968183038061e-05,9.2856,15.9111428571
ComStage ETF STOXX 600 Banks TR,LU0378435399,ComStage ETF,Swap-based,Capitalizing,6.8843543799999996,16.836818162,-0.5911131002449321,0.0003383810807669229,52.4755,25.3280952381
ComStage ETF STOXX 600 Basic Resources TR,LU0378435472,ComStage ETF,Swap-based,Capitalizing,8.854580442,12.887014808,-0.31290678454848564,0.00043522200257529715,54.34636,29.2122380952
ComStage ETF STOXX 600 Chemicals TR,LU0378435555,ComStage ETF,Swap-based,Capitalizing,13.797687301000002,10.584612964,0.3035608716094007,0.0006781865202291385,22.6493,10.6754761905
ComStage ETF STOXX 600 Construction & Materials TR,LU0378435639,ComStage ETF,Swap-based,Capitalizing,2.370311943,0.179419569,12.211000094421138,0.00011650601824874172,22.09692,14.9549047619
ComStage ETF STOXX 600 Financial Services TR,LU0378435712,ComStage ETF,Swap-based,Capitalizing,0.08653417999999999,0.21215159,-0.592111565131329,4.253344284069154e-06,8.08756,17.0712857143
ComStage ETF STOXX 600 Food & Beverage TR,LU0378435803,ComStage ETF,Swap-based,Capitalizing,0.738761817,0.983274556,-0.24867188671563678,3.6311759718824314e-05,26.70304,12.2621428571
ComStage ETF STOXX 600 Health Care TR,LU0378435985,ComStage ETF,Swap-based,Capitalizing,9.817595898,3.545034417,1.7693936766651142,0.00048255631931866784,53.21914,19.6598571429
ComStage ETF STOXX 600 Industrial Goods & Services TR,LU0378436017,ComStage ETF,Swap-based,Capitalizing,1.75670155,0.997352041,0.7613655738234961,8.634572485124287e-05,10.44448,13.8448095238
