European ETF Statistics ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
March 2009,,,,,,
,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,,
,,03/2009,02/2009,Change (%),Market Share,
db x-trackers CAC 40 Short ETF,LU0322251280,4.82744125,4.91267713,-0.01735018967143076,0.00018862996091290358,
db x-trackers Currency Carry ETF,LU0328474126,0.07130639999999999,0.08059825,-0.11528600186728621,2.786263518968743e-06,
db x-trackers Currency Momentum ETF,LU0328474043,1.1821109879999998,0.262313011,3.506490103153899,4.619042219543403e-05,
db x-trackers Currency Returns ETF,LU0328474472,1.32113403,0.03776282,33.985046932406,5.162268115424643e-05,
db x-trackers Currency Valuation ETF,LU0328473748,2.8633138700000003,0.0089235,319.87340953661686,0.00011188262174697099,
db x-trackers DAX ETF,LU0274211480,287.04145164,240.97604454100002,0.19116176957233755,0.011216007611327494,
db x-trackers db Hedge Fund Index ETF,LU0328476337,1.30557091,,,5.101455967430447e-05,
db x-trackers DBLCI - OY Balanced ETF,LU0292106167,29.074637792,12.972325227,1.2412819046107004,0.0011360775835980998,
db x-trackers DJ EURO STOXX 50 ETF,LU0274211217,166.844938185,153.66943961,0.08573922445762983,0.006519386262515855,
db x-trackers DJ EURO STOXX 50 Short ETF,LU0292106753,773.906608289,471.615858681,0.6409681609380926,0.03024003104580338,
"db x-trackers DJ EURO STOXX ETF Anteilsklasse ""1C""",LU0380865021,15.63860411,20.8409486,-0.2496212907506523,0.0006110709854835983,
db x-trackers DJ EURO STOXX Select Dividend 30 ETF,LU0292095535,1.118474942,0.70527978,0.585859929232623,4.37038740951062e-05,
db x-trackers DJ Islamic Market Titans 100 ETF,LU0328475529,0.0423971,0.00023219999999999998,181.58871662360036,1.6566464306159014e-06,
db x-trackers DJ STOXX 600 Banks ETF,LU0292103651,36.737382092,9.60896209,2.8232414435511624,0.001435495656846443,
db x-trackers DJ STOXX 600 Banks Short ETF,LU0322249037,79.255083158,26.610458511999997,1.9783433878923917,0.0030968545165086093,
db x-trackers DJ STOXX 600 Basic Resources ETF,LU0292100806,14.053010843000001,2.254456396,5.233436525068192,0.0005491146859682033,
db x-trackers DJ STOXX 600 ETF,LU0328475792,5.31760759,0.30421403999999996,16.479823054846516,0.00020778297650993877,
db x-trackers DJ STOXX 600 Food & Beverage ETF,LU0292105359,2.75307125,1.2365691699999999,1.226378690971246,0.00010757494403022278,
db x-trackers DJ STOXX 600 Health Care ETF,LU0292103222,5.70834962,3.4795514169999997,0.6405418216011378,0.00022305103468587797,
db x-trackers DJ STOXX 600 Health Care Short ETF,LU0322249466,0.21067681,1.04534858,-0.7984626238263987,8.232095716453352e-06,
db x-trackers DJ STOXX 600 Industrial Goods ETF,LU0292106084,2.05693358,0.15520495,12.25301531942119,8.037369710006079e-05,
db x-trackers DJ STOXX 600 Insurance ETF,LU0292105193,2.1897415980000003,1.46535245,0.494344652714779,8.55631069648127e-05,
db x-trackers DJ STOXX 600 Oil & Gas ETF,LU0292101796,12.148840141,3.500488065,2.4706132160459178,0.00047471012535552754,
db x-trackers DJ STOXX 600 Oil & Gas Short ETF,LU0322249623,10.270948287000001,5.373649028,0.911354506682903,0.00040133239817579644,
db x-trackers DJ STOXX 600 Technology ETF,LU0292104469,1.17768505,0.10987373,9.718531627168751,4.601748078222825e-05,
db x-trackers DJ STOXX 600 Technology Short ETF,LU0322250043,7.747360795,9.360502539999999,-0.1723349508326718,0.0003027244223715849,
db x-trackers DJ STOXX 600 Telecommunications ETF,LU0292104030,2.1842245499999997,0.73009205,1.9917111821721654,8.534753094954898e-05,
db x-trackers DJ STOXX 600 Telecommunications Short ETF,LU0322250126,4.43394672,0.38428038,10.538311479758608,0.00017325435011425507,
db x-trackers DJ STOXX 600 Utilities ETF,LU0292104899,7.118530062,0.654983483,9.868258890125325,0.00027815316185409594,
db x-trackers DJ STOXX Global Select Dividend 100 ETF,LU0292096186,1.382043337,1.1272571599999999,0.22602311703214206,5.400268323063463e-05,
db x-trackers FTSE 100 ETF,LU0292097234,6.821213269999999,2.248174267,2.034112332894165,0.00026653565022643816,
db x-trackers FTSE 100 Short ETF,LU0328473581,4.443645504,2.2938186660000004,0.9372261503778343,0.0001736333254662229,
db x-trackers FTSE 250 ETF,LU0292097317,0.0239,0.1068,-0.7762172284644195,9.338810836524207e-07,
db x-trackers FTSE All-Share ETF,LU0292097747,0.019128433,0.009726700000000001,0.9665902104516433,7.474343823687333e-07,
db x-trackers FTSE Vietnam ETF,LU0322252924,3.083788123,2.201308992,0.4008883506164318,0.00012049754786869057,
db x-trackers FTSE/XINHUA China 25 ETF,LU0292109856,12.170855858,10.466838637,0.1628015182135647,0.0004755703789810231,
db x-trackers II Emerging Markets Liquid Eurobond Index ETF,LU0321462953,0.292624109,0.489779835,-0.40253949205564976,1.1434147280993476e-05,
db x-trackers II EONIA TRI ETF,LU0290358497,630.471318793,777.866555986,-0.18948653346609845,0.02463536562368944,
db x-trackers II EONIA TRI ETF 1D,LU0335044896,13.081991648,39.406713093,-0.668026317822386,0.0005111725747517221,
db x-trackers II FED Funds Effective Rate TRI ETF,LU0321465469,16.932916379999998,13.26702047,0.27631644334080074,0.0006616456191778336,
db x-trackers II Global Sovereign EUR Hedged Index ETF,LU0378818131,0.037001519999999996,0.21222158,-0.8256467603341753,1.4458167194304064e-06,
db x-trackers II iBoxx € Germany Covered TRI ETF,LU0321463506,6.159624563,31.571302895,-0.8048979928549128,0.00024068438752244804,
db x-trackers II iBoxx € Inflation-Linked TRI ETF,LU0290358224,5.497771371000001,5.224379099999999,0.05233009813548972,0.00021482279019341988,
db x-trackers II iBoxx € Sovereigns Eurozone 10-15 TRI ETF,LU0290357333,3.13784479,3.91956011,-0.19943955394525126,0.00012260978631038923,
db x-trackers II iBoxx € Sovereigns Eurozone 1-3 TRI ETF,LU0290356871,51.286501888,44.638843689000005,0.14892093185285882,0.00200399556317604,
db x-trackers II iBoxx € Sovereigns Eurozone 15+ TRI ETF,LU0290357507,0.24283726,0.32134928,-0.24431988769354018,9.488749938074671e-06,
db x-trackers II iBoxx € Sovereigns Eurozone 25+ TRI ETF,LU0290357846,0.00271248,0.68811148,-0.9960580805889185,1.059888603257539e-07,
db x-trackers II iBoxx € Sovereigns Eurozone 3-5 TRI ETF,LU0290356954,34.215829113,7.57214829,3.5186422402987567,0.001336967178665878,
db x-trackers II iBoxx € Sovereigns Eurozone 5-7 TRI ETF,LU0290357176,27.032085535,17.37586133,0.5557263620841755,0.0010562658298247166,
db x-trackers II iBoxx € Sovereigns Eurozone 7-10 TRI ETF,LU0290357259,8.07615833,0.57421564,13.064678436832546,0.00031557202899451563,
db x-trackers II iBoxx € Sovereigns Eurozone TRI ETF,LU0290355717,16.824301143,8.855334638,0.8999057439121025,0.000657401530674456,
db x-trackers II iBoxx Global Inflation-Linked TRI Hedged ETF,LU0290357929,9.729651167,7.3353355449999995,0.32640846588565986,0.00038018147177397486,
db x-trackers II iTraxx Crossover 5-year Short TRI ETF,LU0321462870,7.40192653,0.47802306,14.484454934036027,0.00028922674347079503,
db x-trackers II iTraxx Crossover 5-year TRI ETF,LU0290359032,10.893587779999999,11.53340076,-0.05547478955374485,0.0004256617389476639,
db x-trackers II iTraxx Europe 5-year Short TRI ETF,LU0321462102,1.1136371,0.00401724,276.21448058866287,4.3514837729855195e-05,
db x-trackers II iTraxx Europe 5-year TRI ETF,LU0290358653,9.75747214,4.04246006,1.4137460841109712,0.0003812685630046655,
db x-trackers II iTraxx Europe Senior Financials 5-year   TRI ETF,LU0378819295,0.0999682,0,,3.906209663045268e-06,
db x-trackers II iTraxx Europe Senior Financials 5-year  Short TRI ETF,LU0378819709,0.00022148,0.00010961,1.0206185567010309,8.654225205327955e-09,
db x-trackers II iTraxx Europe Subordinated Financials 5- year Short TRI ETF,LU0378819881,0.367701,0.28289195,0.2997930835430276,1.4367740934731328e-05,
db x-trackers II iTraxx Europe Subordinated Financials 5- year TRI ETF,LU0378819378,0.019282,0,,7.534349395391622e-07,
db x-trackers II iTraxx HiVol 5-year Short TRI ETF,LU0321462441,1.10065286,0.00137892,797.1992138775273,4.30074847540559e-05,
db x-trackers II iTraxx HiVol 5-year TRI ETF,LU0290358737,21.768802,6.74778778,2.226065002299168,0.0008506055398148528,
db x-trackers II Short IBOXX € Sovereigns Eurozone TRI ETF,LU0321463258,15.964330509,9.566962455,0.668693755629461,0.000623798588934323,
db x-trackers II SONIA TRI ETF,LU0321464652,10.98124827,2.33133352,3.710286269979939,0.00042908703072150084,
db x-trackers LPX MM Private Equity ETF,LU0322250712,0.71806515,0.038657004999999994,17.575291852020097,2.805805273703088e-05,
db x-trackers MSCI AC Asia ex Japan TRN Index ETF,LU0322252171,2.69095414,1.00940866,1.665871858083722,0.00010514774762854259,
db x-trackers MSCI Brazil TRN Index ETF,LU0292109344,26.674695647,26.727086082,-0.001960200032254278,0.0010423009906660615,
db x-trackers MSCI EM Asia TRN Index ETF,LU0292107991,6.535898276999999,2.3446434,1.7875873478244069,0.0002553871031617886,
db x-trackers MSCI EM EMEA TRN Index ETF,LU0292109005,5.04590538,3.73640829,0.3504694852285535,0.00019716634243857655,
db x-trackers MSCI EM LATAM TRN Index ETF,LU0292108619,16.668881105,13.792239621,0.20856956977603835,0.0006513285669293205,
