Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,ETF Segment of Deutsche Börse Group,,,,,,,,,,,
,Monthly Report: December 2021,,,,,,,,,,,
,,,,,,,,,,,,
,,Product Name,ISIN,Xetra Ticker,Product Family,ETF Type,Replication,Income Treatment,Xetra Order Book Turnover (€ m),,Assets under Management (€ m),Xetra Liquidity Measure (XLM)*
,,Exchange Traded Funds,,,,,,,12-2021,November 2021,December 2021,December 2021
,445,SPDR MSCI Emerging Markets Small Cap UCITS ETF,IE00B48X4842,SPYX,SPDR,Passive,Optimised,Accumulating,8.25493228,12.103067370000002,167.89440856436514,43.9951428571429
,446,iShares Global Govt Bond UCITS ETF USD (Dist),IE00B3F81K65,EUN3,iShares,Passive,Optimised,Distributing,8.22636657,10.259230109999999,978.9368617782095,11.02775
,447,Lyxor Green Bond (DR) UCITS ETF - Monthly Hedged to EUR - Acc,LU1563454823,KLMH,Lyxor,Passive,Optimised,Accumulating,8.13527695,13.731151458,190.7298299641,16.3758
,448,Amundi Index FTSE EPRA NAREIT Global UCITS ETF DR - EUR (D),LU1737652823,10AJ,Amundi,Passive,Full Replication,Distributing,8.134290889999999,6.75552416,118.67010627989205,36.6515238095238
,449,UBS ETF (IE) MSCI USA Value UCITS ETF (USD) A-dis,IE00B78JSG98,UBU5,UBS ETF,Passive,Full Replication,Distributing,8.03527529,25.69208781,1059.768596,17.25
,450,SPDR S&P U.S. Health Care Select Sector UCITS ETF,IE00BWBXM617,ZPDH,SPDR,Passive,Full Replication,Accumulating,8.013862900000001,5.64941174,263.4518153452234,13.146
,451,UBS ETF (LU) Bloomberg MSCI US Liquid Corporates Sustainable UCITS ETF (hedged to EUR) A-acc,LU1215461325,UET0,UBS ETF,Passive,Optimised,Accumulating,7.9879361985,14.79967049,527.86159069,28.16395
,452,iShares MSCI Korea UCITS ETF USD (Dist),IE00B0M63391,IQQK,iShares,Passive,Full Replication,Distributing,7.972353515,8.238405175,402.3977357142857,29.9763333333333
,453,Deka Deutsche Boerse EUROGOV Germany 5-10 UCITS ETF,DE000ETFL201,EL4U,Deka ETF,Passive,Full Replication,Distributing,7.962718695,5.7145342,249.92438305000002,6.06209523809524
,454,Vanguard EUR Corporate Bond UCITS ETF,IE00BZ163G84,VECP,Vanguard,Passive,Optimised,Distributing,7.9517659400000005,20.51476389,612.3956869,11.3504
,455,iShares EUR Corp Bond Financials UCITS ETF EUR (Dist),IE00B87RLX93,IS3B,iShares,Passive,Optimised,Distributing,7.94674595,14.880524385,309.24370773000004,9.07225
,456,iShares US Property Yield UCITS ETF USD (Dist),IE00B1FZSF77,IQQ7,iShares,Passive,Full Replication,Distributing,7.9325742450000005,8.767751299999999,757.4100651951263,17.528
,457,Deka DAXplus Maximum Dividend UCITS ETF,DE000ETFL235,EL4X,Deka ETF,Passive,Full Replication,Distributing,7.8907910800000005,7.62547113,324.28578927,8.9554
,458,iShares USD Short Duration High Yield Corp Bond UCITS ETF USD (Dist),IE00BCRY6003,IS3K,iShares,Passive,Optimised,Distributing,7.877644616,5.095082524,1161.3180340102417,20.2584761904762
,459,iShares Global High Yield Corp Bond UCITS ETF USD (Dist),IE00B74DQ490,IBC9,iShares,Passive,Optimised,Distributing,7.876788464,10.392641326,1110.433329860498,28.5767
,460,Deka EURO iSTOXX ex Fin Dividend+ UCITS ETF,DE000ETFL482,ELFC,Deka ETF,Passive,Full Replication,Distributing,7.866604645,7.8484327,421.04762719,13.5458
,461,Lyxor MSCI Russia UCITS ETF - Acc,LU1923627092,LRUS,Lyxor,Passive,Swap-based,Accumulating,7.79148925,20.550058195000002,270.6554081658,25.6688571428571
,462,iShares USD Corp Bond ESG UCITS ETF EUR Hedged (Dist),IE00BH4G7D40,36BA,iShares,Passive,Optimised,Distributing,7.7120435810000005,12.5165393988,194.06470119,24.3559523809524
,463,Lyxor EuroMTS Highest Rated Macro-Weighted Govt Bond (DR) UCITS ETF - Acc,LU1287023342,LYXA,Lyxor,Passive,Full Replication,Accumulating,7.69696611,3.997165125,654.8426997020001,6.1505
,464,Amundi MSCI Europe UCITS ETF - EUR (C),LU1681042609,CEUG,Amundi,Passive,Swap-based,Accumulating,7.675825400000001,7.39403215,2510.444726049314,8.31176190476191
,465,iShares EURO STOXX Small UCITS ETF EUR (Dist),IE00B02KXM00,IQQS,iShares,Passive,Optimised,Distributing,7.61148504,9.408163915,1056.96599682,10.3235714285714
,466,Xtrackers S&P 500 UCITS ETF 1D EUR Hedged,IE00BGJWX091,XDPD,Xtrackers,Passive,Full Replication,Distributing,7.5685259160000005,4.016698788,33.5125678484,11.412
,467,iShares US Aggregate Bond UCITS ETF USD (Dist),IE00B44CGS96,EUNX,iShares,Passive,Optimised,Distributing,7.475392052,8.37189283,1133.0268498763908,31.9325
,468,L&G Clean Water UCITS ETF,IE00BK5BC891,XMLC,L&G ETF,Passive,Full Replication,Accumulating,7.47510009,9.51790119,321.11900379657425,18.143
,469,Xtrackers iBoxx EUR Corporate Bond Yield Plus UCITS ETF 1D,IE00BYPHT736,XDEP,Xtrackers,Passive,Optimised,Distributing,7.470366836,8.730230581,450.6257362504,17.02295
,470,iShares European Property Yield UCITS ETF EUR (Acc),IE00BGDQ0L74,IPRE,iShares,Passive,Full Replication,Accumulating,7.460395484,4.544773944,345.08097444,15.00215
,471,Vanguard FTSE North America UCITS ETF - (USD) Accumulating,IE00BK5BQW10,VNRA,Vanguard,Passive,Full Replication,Accumulating,7.41176524,10.96513113,477.84992539999996,14.8912
,472,L&G Longer Dated All Commodities UCITS ETF,IE00B4WPHX27,ETL2,L&G ETF,Passive,Swap-based,Accumulating,7.353898502000001,12.872643282,655.5909865442345,24.4771904761905
,473,iShares OMX Stockholm Capped UCITS ETF,IE00BD3RYZ16,OM3X,iShares,Passive,Full Replication,Accumulating,7.3181111124448,14.364980425114613,697.2607783664869,17.156
,474,iShares MSCI Brazil UCITS ETF USD (Dist),IE00B0M63516,IQQB,iShares,Passive,Full Replication,Distributing,7.283730919,8.762719183,176.9487961945965,61.9766
,475,iShares EUR Govt Bond 3-5yr UCITS ETF EUR (Dist),IE00B1FZS681,IBCN,iShares,Passive,Optimised,Distributing,7.256480255,4.43698524,1785.31742748,2.9718
,476,Xtrackers MSCI Canada UCITS ETF 1C,LU0476289540,D5BH,Xtrackers,Passive,Full Replication,Accumulating,7.2390031200000005,6.2028405499999995,407.753712783319,16.100380952381
,477,Invesco MDAX UCITS ETF,IE00BHJYDV33,DEAM,Invesco,Passive,Full Replication,Accumulating,7.2096249199999995,8.78324684,298.3527375,8.96095238095238
