XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Monthly turnover report: December 2009,,,,,,
,,,,,,
,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,,AuM
,,12/2009,11/2009,Change (%),Market Share,in MEUR
Market Access DAXglobal BRIC Index Fund,LU0269999792,1.6004882139999999,2.922104596,-0.45228236655495824,0.0001641084838011282,44.94344426
db x-trackers HSI Short Daily Index ETF,LU0429790313,1.02224279,3.32242893,-0.6923206450649344,0.00010481721319538258,4.0780974500000005
Market Access DAXglobal Russia Index Fund,LU0269999958,0.512721285,1.397209092,-0.6330389718076641,5.257265374271363e-05,26.417935839999995
db x-trackers DJ STOXX 600 Basic Resources Short Daily ETF,LU0412624354,0.5981458000000001,1.4689680600000001,-0.5928122494372001,6.133178580846013e-05,2.9986118000000004
ComStage ETF MSCI EM Eastern Europe TRN,LU0392495379,1.33991769,1.56886095,-0.1459296058073215,0.00013739049035209588,12.9978
Easy ETF NMX30 Infrastructure Global,LU0315440411,1.06622628,0.34152384999999996,2.1219672652437014,0.00010932712697859155,14.1541
ComStage ETF MSCI Russia 30% Capped TRN,LU0392495536,0.53268213,1.35489588,-0.6068464463852381,5.461936922595512e-05,13.0008
db x-trackers MSCI Russia Capped Index ETF,LU0322252502,13.251641079,25.532611452,-0.4809915505935456,0.0013587770945943604,116.60422200000002
EasyETF EURO STOXX 50 Double Short,FR0010689695,0.04859021,1.11168605,-0.9562914277821513,4.982270797701993e-06,7.54910519
Market Access FTSE/JSE Africa Top 40 Index Fund,LU0270000028,0.21460916,0.25738508,-0.1661942487109198,2.20052753587061e-05,9.859018619999999
Xmtch (IE) on MSCI UK Small Cap,IE00B3VWLG82,0,0.250105193223342,-1,0,5.64839678
Lyxor ETF PRIVEX ,FR0010407197,0.22945521,0.36719364,-0.3751111538859987,2.3527537587583556e-05,37.60603545
ETFlab MSCI Japan MC,DE000ETFL318,0,0.00373,-1,0,31.569960599999998
Lyxor ETF Pan Africa ,FR0010636464,1.69465066,1.20618545,0.4049669227895263,0.00017376357286013805,31.8205008
Easy ETF NMX Infrastructure Europe,LU0315455286,0.91598836,1.3592418899999998,-0.32610349435301755,9.392225423728238e-05,3.8979448199999998
iShares eb.rexx Jumbo Pfandbriefe (DE),DE0002635265,72.99269009999999,79.975865686,-0.08731603623294615,0.007484416065107381,1245.79930005
db x-trackers db commodity booster - S&P GSCI TM Light Energy Euro ETF,LU0411078123,1.07223062,2.0549468799999997,-0.47821978736501447,0.00010994279107721294,170.25331751999997
Lyxor ETF Short Strategy Europe,FR0010589101,4.19968869,4.22549777,-0.006107938379056099,0.00043062144245983587,29.60289938
ETFlab MSCI USA MC,DE000ETFL276,0.19697739,0.18275898000000002,0.0777986942146427,2.0197375109194974e-05,37.0521631
db x-trackers DB Commodity Booster DJ-UBSCI ETF,LU0429790743,1.83882701,4.3737239500000005,-0.5795740583947919,0.000188546913338071,35.29961032
Lyxor ETF MSCI EM Latin America,FR0010410266,5.1341136270000005,2.8074665690000002,0.8287354455760219,0.0005264341190516766,256.4739894
Lyxor ETF MSCI Greece,FR0010405431,5.16894499,2.64816579,0.9518962934718675,0.0005300056056272451,21.00827611
Lyxor ETF DAXplus Protective Put,LU0288030280,1.206789192,3.85577032,-0.687017355328364,0.00012373995811674788,34.62077112
iShares MSCI AC Far East ex-Japan Small Cap,DE000A0RFEF2,0.18664684,1.15882232,-0.8389340308874962,1.913811651391003e-05,13.472
EasyETF STOXX 50 Europe (A share),FR0010153387,0.55105,0,,5.650274660417569e-05,0.64602584
iShares DJ STOXX Asia Pacific 600 Real Estate (DE),DE000A0H0777,2.2148652280000003,3.0176134500000003,-0.2660208921059787,0.00022710456172776305,17.909577300000002
EasyETF - iTraxx Europe HiVol,LU0281436302,0.51055275,0,,5.235029972110527e-05,54.464104240000005
EasyETF - iTraxx Crossover,LU0281436138,1.51047639,8.84012023,-0.829133953984696,0.00015487898505718182,59.84104082
EasyETF EURO STOXX 50 (B share),FR0010129072,0.33355278000000005,0.51008,-0.3460775172521957,3.420133963788832e-05,669.9072625
EasyETF EURO STOXX 50 (A share),FR0010129064,0.5865895,0.50983,0.15055900986603388,6.014684307988406e-05,127.898769
Xmtch (IE) on MSCI USA Small Cap,IE00B3VWM098,0,0,,0,11.432133899999998
EasyETF DJ STOXX 600 Double Short,FR0010689687,0.10915180000000001,0.17870031,-0.3891907630154643,1.1192045180636356e-05,6.435069680000001
Lyxor ETF DAXplus Covered Call,LU0252635023,2.009223286,0.14619510500000002,12.743437483765273,0.00020601875365224066,14.03946079
iShares JPMorgan $ Emerging Markets Bond,DE000A0RFFT0,0.72701906,0.50594276,0.43695911371476104,7.454600076868887e-05,183.76800000000003
iShares $ Corporate Bond,DE000A0DPYY0,2.64628773,0.191403657,12.825690540489516,0.00027134112158593466,455.65
EasyETF Russell 1000 (EUR),FR0010616292,0.01704922,0,,1.7481676026836842e-06,17.815132560000002
EasyETF DJ STOXX 600,FR0010616250,0.030336310000000002,0,,3.110579506098759e-06,171.05462034
iShares DJ STOXX Americas 600 Real Estate (DE),DE000A0H0769,1.4674689609999998,1.06935412,0.3722946716659208,0.00015046915316736404,20.16379664
Lyxor ETF New Energy,FR0010524777,0.650377332,0.7277275400000001,-0.1062900656473712,6.668742507412367e-05,88.92494712999999
db x-trackers S&P Global Infrastructure ETF,LU0322253229,3.863009854,4.307919039,-0.10327705348503413,0.0003960995679339365,81.47058342
db x-trackers DBLCI - OY Balanced ETF,LU0292106167,51.668494266,56.759389945,-0.08969257217057991,0.005297907338591965,864.75189647
