XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Turnover Report: September 2018,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Product Family,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM,XLM*
,,,,,09-2018,08-2018,Change (%),Market Share,in MEUR,100000
iShares Core DAX UCITS ETF (DE),DE0005933931,iShares,Full Replication,Accumulating,1878.7226605399999,1416.32686236,0.3264753429935785,0.179725985920467,7233.53087847,3.05355
iShares EURO STOXX 50 UCITS ETF (DE),DE0005933956,iShares,Full Replication,Distributing,561.33624915,1278.99703495,-0.5611121575649749,0.053699629503794276,7513.91019588,3.58595
iShares STOXX Europe 600 UCITS ETF (DE),DE0002635307,iShares,Full Replication,Distributing,367.94912064,326.09147356,0.12836167294726364,0.03519945751683495,6360.51150119,3.95465
iShares EURO STOXX Banks 30-15 UCITS ETF (DE),DE0006289309,iShares,Full Replication,Distributing,261.0154865,233.82526051,0.1162843823233426,0.02496976623374478,1892.81871868,7.924250000000001
iShares EURO STOXX UCITS ETF (DE),DE000A0D8Q07,iShares,Full Replication,Distributing,187.38186154,159.64674248,0.17372806127550366,0.017925684570818487,1589.65065122,4.7332
iShares Core MSCI World UCITS ETF USD (Acc),IE00B4L5Y983,iShares,Optimised,Accumulating,161.03601748,112.01785409,0.43759241585378605,0.015405337689374375,13796.29820822871,3.60345
Xtrackers DAX UCITS ETF 1C,LU0274211480,Xtrackers,Full Replication,Accumulating,153.31664948,174.23053475999998,-0.12003570619127446,0.014666872638825544,3811.2203272176,3.48285
Deka DAX UCITS ETF,DE000ETFL011,Deka ETF,Full Replication,Accumulating,132.93739336,178.86159672,-0.25675832152998357,0.01271731298565143,1956.82826151,3.6249
iShares Core S&P 500 UCITS ETF,IE00B5BMR087,iShares,Full Replication,Accumulating,132.18535824,157.70062288,-0.16179558567384655,0.01264537035344303,27474.7289288799,2.4587
Xtrackers Euro Stoxx 50 UCITS ETF 1C,LU0380865021,Xtrackers,Full Replication,Accumulating,129.65769638,130.09658891,-0.003373589835653723,0.012403564295846702,3432.0223823622,3.967950000000001
iShares TecDAX UCITS ETF (DE),DE0005933972,iShares,Full Replication,Accumulating,128.98821085,175.8826304,-0.2666233694785588,0.012339518681522684,1021.66817571,7.160349999999999
Xtrackers Stoxx Europe 600 Banks Swap UCITS ETF 1C,LU0292103651,Xtrackers,Swap-based,Accumulating,103.17145706999999,19.35014069,4.331819479913042,0.009869786653569825,168.86401581,8.596250000000001
Xtrackers MSCI EMU UCITS ETF 1D,LU0846194776,Xtrackers,Full Replication,Distributing,98.01559551000001,75.3347491,0.30106752436240636,0.009376556693872587,2155.0640899488003,5.53305
iShares EURO STOXX 50 UCITS ETF (Dist),IE0008471009,iShares,Full Replication,Distributing,95.60842743,119.16380717,-0.1976722655931571,0.00914627754435196,4366.314249659999,4.2863
